"'Allowance' column title","titolo della colonna 'Allowance'"
"<div class="column_config_section"><div class="column_config_para">If your PDFs print with missing or tofu (<b style="font-size:200%;font-weight:100;display:inline;position:relative;top:5px;">&#9647;</b>) characters, set this to 'Yes'.<br/>Setting this to 'Yes' will make your PDFs about 0.4mb bigger.<br/>If that doesn't work for you: set 'Customise fonts' to 'Yes'; then set 'Use non-roman characters to 'Yes'; then try the other font families.</div></div>","<Div class = "column_config_section"> <div class = "column_config_para"> Se i tuoi PDF stampati con mancanti o tofu (<style b = "font-size: 200%; font-weight: 100; display: inline; position: relative ; top: 5px; "> & # 9647; </ b>) caratteri, impostare questo 'Sì' <br/> l'impostazione di questo 'Sì' renderà i file PDF su 0.4MB più grande <br/> Se questo.. non funziona per voi: insieme 'Personalizza i caratteri' a 'si'; quindi impostare 'Usa caratteri non romani a' Sì '; quindi provare le altre famiglie di caratteri. </ div> </ div>"
"<div class="column_config_section"><div class="column_config_para">Set to the most prominent colour in your logo. [#8AC371]<br/>(Used for title borders).</div></div>","<Div class = "column_config_section"> <div class = "column_config_para"> Imposta il colore più importante nel vostro logo. [# 8AC371] <br/> (Utilizzato per i bordi del titolo). </ Div> </ div>"
"<div class="column_config_section"><div class="column_config_para">Use this if you need a specific cutoff point (eg for labels) which the auto-cutoff is going over","<Div class = "column_config_section"> <div class = "column_config_para"> Usa questo se avete bisogno di uno specifico punto di taglio (ad esempio per le etichette), che l'auto-cutoff sta andando oltre"
"<img src="//moogento.com/logo/moogento_tinylogo.lp.png" alt="Moogento" width="20" style="vertical-align:bottom;margin-left:-1px;"/> MOOGENTO Extensions","<img src = "// moogento.com/logo/moogento_tinylogo.lp.png" alt = width = stile "Moogento" "20" = "vertical-align: bottom; margin-left: -1px;" /> Estensioni MOOGENTO"
"18 Flag","18 Flag"
"2 places","2 posti"
"21 Flag","21 Flag"
"2a Shipmethod match","partita 2a Shipmethod"
"2b Shipmethod match","partita 2b Shipmethod"
"2c Shipmethod match","partita 2c Shipmethod"
"2d Country negative match","2d Paese corrispondenza inversa"
"2nd attribute?","2 ° attributo?"
"2nd background image?","immagine 2 ° di sfondo?"
"2nd Custom page title","2 ° titolo della pagina personalizzata"
"2nd Image file","2 ° file immagine"
"2nd Order attribute code","2 ° ordine attributo codice"
"2nd Order custom attribute?","2 ° ordine attributo personalizzato?"
"2nd page title","2 ° titolo della pagina"
"2nd Sort by :","2 Ordina per:"
"2nd sort direction :","2 ° direzione di ordinamento:"
"3 places","3 posti"
"3rd attribute?","3 ° attributo?"
"4 places","4 posti"
"4th attribute?","4 ° attributo?"
"Above address","sopra indirizzo"
"According to the USPS all addresses should be capitalised to improve delivery time","Secondo l'USPS tutti gli indirizzi devono essere capitalizzati per migliorare i tempi di consegna"
"According to the USPS all addresses should be capitalised to improve delivery time and accuracy","Secondo l'USPS tutti gli indirizzi devono essere capitalizzati per migliorare i tempi di consegna e la precisione"
"Action Menu Options","Opzioni del menu Azione"
"Actual attribute code (eg: shelf)","codice attributo effettivo (ad esempio: mensola)"
"Add 'Packed by' note?","Aggiungi 'Imballato dal' appunto?"
"Add <b><a href="https://moogento.com/autocn22">autoCN22</a> Customs label?</b>","Aggiungere <b> <a href="https://moogento.com/autocn22"> autoCN22 </a> etichetta doganale? </ B>"
"Add 1 per line, exact attribute labels which you *don't* want to show","Aggiungere 1 per riga, esatte etichette degli attributi che * non * desidera visualizzare"
"Add 2nd Order ID barcode?","Aggiungere 2 ° del codice a barre ID ordine?"
"Add 2nd shipping address?","Aggiungere 2 ° indirizzo di spedizione?"
"Add 2nd shipping-type image?","Aggiungi immagine 2 ° trasporto-tipo?"
"Add 3rd shipping-type image?","Aggiungere 3 ° immagine trasporto-tipo?"
"Add a 2nd background image?","Aggiungere un'immagine di sfondo 2 °?"
"Add a 2nd page title?","Aggiungere un titolo 2 ° pagina?"
"Add a background image?","Aggiungere un'immagine di sfondo?"
"Add a flat shipping address?","Aggiungere un indirizzo di spedizione piatta?"
"Add address label?","Aggiungere etichetta con l'indirizzo?"
"Add an <b>autoCN22</b> page?","Aggiungere un <b> autoCN22 </ b>?"
"Add an <b>order-summary</b> label?","Aggiunta di un <b> order-sintesi </ b> etichetta?"
"Add company address to header?","Aggiungi ditta di intestazione?"
"Add company address?","Aggiungere ditta?"
"Add fixed weight?","Aggiungere peso fisso?"
"Add flare to gift messages?","Aggiungere bagliore ai messaggi regalo?"
"Add flat shipping address?","Aggiungere l'indirizzo di spedizione piatta?"
"Add full-page background image?","Aggiungere un'immagine di sfondo a tutta pagina?"
"Add header logo?","Aggiungere header logo?"
"Add image background to label?","Aggiungi immagine di sfondo per etichettare?"
"Add letterhead?","Aggiungere intestata?"
"Add logo?","Aggiungere logo?"
"Add on right of SKU","Aggiungere a destra di SKU"
"Add Order ID above address?","Aggiungi ID ordine sopra l'indirizzo?"
"Add Order ID barcode?","Aggiungi ID ordine di codici a barre?"
"Add ordered qty to stock-needed qty?","Add Qty ordinato di magazzino necessaria qty?"
"Add page background image?","Aggiungi immagine di sfondo pagina?"
"Add return address at bottom?","Aggiungere indirizzo di ritorno, in fondo?"
"Add return address?","Aggiungere indirizzo di ritorno?"
"Add shipping address at bottom?","Aggiungere l'indirizzo di spedizione, in fondo?"
"Add shipping label image?","immagine etichetta di spedizione Aggiungi?"
"Add shipping label?","Aggiungere etichetta di spedizione?"
"Add shipping-type image?","immagine di trasporto-tipo aggiungere?"
"Add static text?","Aggiungere testo statico?"
"Add tax in order subtotal [Europe Standard]","Aggiungere fiscale al fine subtotale [Europa Standard]"
"Add tax to number?","Aggiungere fiscale al numero?"
"Add tax to product line subtotal [US Standard]","Aggiungere fiscale alla linea di prodotti subtotale [US Standard]"
"Add tracking number as barcode?","Aggiungere numero di tracking come codice a barre?"
"Add tracking number?","Aggiungere il numero di inseguimento?"
"Address format","formato indirizzo"
"Address label : Color","Etichetta Indirizzo: Colore"
"Address label : Font","Etichetta Indirizzo: Font"
"Address label : Size","Etichetta Indirizzo: Size"
"Address label : Style","Etichetta Indirizzo: Style"
"Address text","di testo indirizzo"
"Address text, Default","testo indirizzo predefinito"
"Address text, Group 1","di testo Indirizzo, Gruppo 1"
"Address text, Group 2","di testo Indirizzo, Gruppo 2"
"Address text, Group 3","di testo Indirizzo, Gruppo 3"
"Address-label Sheet Options","Opzioni foglio dell'indirizzo-label"
"Adds a field for shipping methods that don't come from WSA Store Pickup","Aggiunge un campo per i metodi di spedizione che non provengono da WSA Conservare Pickup"
"Admin: Order-view PDF Invoice and Packing Sheet button?","Admin: Order-view PDF Invoice Sheet e imballaggio pulsante?"
"Admin: Order-view PDF Invoice button?","Admin: Order-view pulsante PDF fattura?"
"Admin: Order-view PDF Packing Sheet button?","Admin: Order-view pulsante PDF Imballaggio Scheda?"
"Admin: Order-view PDF Zebra Label button?","Admin: Order-view pulsante Label PDF Zebra?"
"Admin: Order-view Resend Email button?","Admin: Order-view pulsante Rispedisci Email?"
"Alert Flag","avviso Bandiera"
"Align text : center","Allineare il testo: Centro"
"Align text : left","Allineare il testo: sinistra"
"All","Tutti"
"All : non-interlaced <b>and</b> non-transparent .png","All: non interlacciata <b> e </ b> .png non trasparente"
"Allow Customers to Make PDFs?","Consentire ai clienti di effettuare i PDF?"
"Alternate row color","colore fila alternativo"
"Alternate row in picklists","fila alternativo in picklists"
"Alternate, billing down, shipping up","Alternate, fatturazione verso il basso, il trasporto fino"
"Always override &amp; use courierRules Shipping Connector Label if available?","ignorare & amp sempre; utilizzare courierRules connettore etichetta di trasporto, se disponibile?"
"Amount to add","Importo da aggiungere"
"Angle Text","angolo del testo"
"Angled Ribbon","nastro ad angolo"
"Applies to Packing Sheets and Invoices, in the section which shows shipping method etc.","Si applica a fogli di imballaggio e fatture, nella sezione che mostra il metodo di spedizione, ecc"
"Ascending","Ascendente"
"Attr.(1) Xpos","Attr. (1) Xpos"
"Attr.(2) Xpos","Attr. (2) Xpos"
"Attr.(3) Xpos","Attr. (3) Xpos"
"Attr.(4) Xpos","Attr. (4) Xpos"
"Attribute 1","Abilità 1"
"Attribute 2","Abilità 2"
"Attribute 3","attributo 3"
"Attribute 4","attributo 4"
"Attribute code","codice attributo"
"Attribute code (eg. for shelving info, maybe you have an attribute: shelf)<br /><b>You need to have created this attribute, and assigned values for each product for it to work!</b>","Attributo codice (es. Per info scaffalature, forse hai un attributo: shelf) <br /> <b> E 'necessario aver creato questo attributo, e valori assegnati per ogni prodotto per farlo funzionare </ b>!"
"Attribute code 1:","Attributo codice 1:"
"Attribute code 2:","Attributo codice 2:"
"Attribute code 3:","Attributo codice 3:"
"Attribute code 4:","Attributo codice 4:"
"Attribute code 5:","Attributo Codice 5:"
"Attribute code for shelving info; eg. shelf","Attributo codice per informazioni scaffalature; per esempio. mensola"
"Attribute code for supplier data; Default: supplier","Attributo codice per i dati dei fornitori; Predefinito: il fornitore"
"Attribute code; eg. shelf","Attributo codice; per esempio. mensola"
"Attribute codes?","Attribuire i codici?"
"Attribute column title","Attributo titolo della colonna"
"Attribute to show","Attributo di mostrare"
"Attribute to sort by :","Attributo per l'ordinamento:"
"Attribute to use as product name","Attributo di utilizzare il nome del prodotto"
"Auto description 1","Descrizione Auto 1"
"Auto description 3","Descrizione Auto 3"
"Auto Processing","Elaborazione automatica"
"Automatic action :","Azione automatica:"
"Automatic action #2:","Azione automatica # 2:"
"Automatic action #3:","Azione automatica # 3:"
"Automation Connection","Automation Connection"
"Background Image","Immagine di sfondo"
"Background image position","posizione dell'immagine di sfondo"
"Background image?","Immagine di sfondo?"
"barcode : Font","codice a barre: Font"
"barcode font size","dimensione dei caratteri del codice a barre"
"barcode Font Size (Orders)","codice a barre Font Size (ordini)"
"barcode Font Size (Products)","codice a barre Font Size (Prodotti)"
"barcode font-size","codice a barre font-size"
"barcode size","dimensione del codice a barre"
"barcode X-pos.","barcode X-pos."
"Because the Order currency is different from the Store currency, the conversion from","Poiché la valuta ordine è diversa dalla valuta negozio, la conversione da"
"Beside address","accanto indirizzo"
"Billing address position","Posizione indirizzo di fatturazione"
"Billing address posititon","Indirizzo di fatturazione posititon"
"Billing address title","Titolo indirizzo di fatturazione"
"Bkg","Bkg"
"Blank = #000000 (#HEX colour code)","Vuoto = # 000000 (codice di colore #HEX)"
"Blank box image","immagine Casella in bianco"
"Bold","Grassetto"
"Bold 'Extra shipping details' labels?","etichette bold 'dettagli supplementare di trasporto?"
"Bold italic","Italico grassetto"
"Bold last line in page-base shipping addresses?","Bold ultima riga in indirizzi di spedizione pagina-base?"
"Bold last line in page-top shipping addresses?","Bold ultima riga in indirizzi di spedizione pagina-top?"
"Bold product name?","Bold Nome prodotto?"
"Border color","Colore del bordo"
"Bottom of page","Fine pagina"
"Box 1 Image","Box 1 Immagine"
"Box 2a Image (Store Pickup)","Box 2a Immagine (Conservare Pickup)"
"Box 2b Image (Express Mail)","Box 2b Immagine (posta espressa)"
"Box 2c Image (Priority International)","Box 2c immagine (Spedizione Internazionale)"
"Box 2d Image (Standard International)","Box 2D immagine (International Standard)"
"Box 3 Image","Box 3 Immagine"
"Box count estimation?","Box conta di stima?"
"Bring up top address?","Portare indirizzo top?"
"Buttons for PDFs","Pulsanti per i PDF"
"By default we output ANSI, which works well for Windows machines and special characters.<br >If you need UTF-8, just choose that here","Per impostazione predefinita ci uscita ANSI, che funziona bene per macchine Windows e caratteri speciali. <br> Se avete bisogno di UTF-8, basta scegliere quella qui"
"By Height","Di altezza"
"By Width","Di Larghezza"
"Calculate line totals by:","Calcolare i totali di linea da:"
"Callout colour","colore callout"
"Can be handy to reduce customer support - eg. set to a custom Processing status of 'Packing your order now'","Può essere utile per ridurre l'assistenza clienti - ad es. impostato su un stato di elaborazione personalizzata di 'imballaggio il tuo ordine ora'"
"Cancel?","Annulla?"
"Capitalise shipping labels?","Capitalizzare etichette di spedizione?"
"Category translation","traduzione categoria"
"Center values?","valori Center?"
"Centered in page","Centrato in pagina"
"Centered in product list","Centrato in elenco prodotti"
"Change order status","Modificare lo stato dell'ordine"
"Change the layout of shipping addresses","Modificare il layout di indirizzi di spedizione"
"Change to status:","Passaggio allo stato di:"
"Check for gift message?","Controllare per il messaggio regalo?"
"Clear Cached Images in pickPack","Cancella cache di immagini in pickPack"
"Code","Codice"
"Color","Colore"
"Color attribute","attributo di colore"
"Color X-pos.","Colore X-pos."
"Column mapping","mappatura colonna"
"Columns Y-X-pos.","Colonne Y-X-pos."
"Combine attribute?","Combina attributo?"
"Combine custom attributes under product line?","Combinare gli attributi personalizzati nell'ambito della linea di prodotti?"
"Combine custom product attributes under the product line?","Combinare attributi di prodotto personalizzato sotto la linea di prodotti?"
"Combine pdfs","unire file PDF"
"Combine product line details?","Combinare i dettagli linea di prodotti?"
"Combine the custom attributes listed below?","Combinare i attributi personalizzati elencati di seguito?"
"Combined Attributes Xpos","Combinato Attributi Xpos"
"Combined Packing Sheet/Invoice' grouped by Order ID?","Combinato imballaggio foglio / fattura 'raggruppati per ID ordine?"
"Combined pdfs?","pdfs combinati?"
"Comma separated top,bottom widths (eg 1,2)","Separati da virgola superiore, larghezza inferiore (ad esempio 1,2)"
"Comma-separated list of customer group names where you don't want the group name","elenco separato da virgole di nomi di gruppi di clienti in cui non si desidera che il nome del gruppo"
"Comma-separated list of SKUs to *not* show","elenco delle SKU separati da virgole per * non * spettacolo"
"Comma-separated list of SKUs to *not* show a count for","elenco delle SKU separati da virgole per * non * mostrano un conteggio per"
"Comments","Commenti"
"Company address","Indirizzo aziendale"
"Company address : Color","Indirizzo della società: Colore"
"Company address : Font","Indirizzo della società: Font"
"Company address : Size","Indirizzo della società: Dimensioni"
"Company address : Style","Indirizzo della società: Style"
"Company address, Default","Indirizzo azienda, Default"
"Company address, Group 1","Indirizzo della società, Gruppo 1"
"Company address, Group 2","Indirizzo della società, Gruppo 2"
"Company address, Group 3","Indirizzo della società, Gruppo 3"
"Condition","Condizione"
"Configurable product name","Configurabile nome del prodotto"
"Cost (base) to (display) exchange rate","Costo (base) (display) tasso di cambio"
"Cost currency prefix","prefisso di valuta Costo"
"Cost multiplier","moltiplicatore costo per"
"Cost subtotal?","subtotale costo?"
"courierRules Method","Metodo courierRules"
"courierRules method?","Metodo courierRules?"
"courierRules Shipping Method","courierRules Metodo di Spedizione"
"CSV (Order-combined Products)","CSV (Ordina-combinato)"
"CSV (Order-combined Products) Options","CSV (Ordina-combinato) Opzioni"
"CSV (Order-combined Products)?","CSV (Ordina-combinato)?"
"CSV (Order-separated Products)","CSV (ordine separato Prodotti)"
"CSV (Order-separated Products) Options","CSV (ordine separato Prodotti) Opzioni"
"CSV (Order-separated Products)?","CSV (ordine separato da prodotti)?"
"CSV (Orders)","CSV (ordini)"
"CSV (Orders) Options","CSV (ordini) Opzioni"
"CSV (Orders)?","CSV (ordini)?"
"CSV field separator","separatore di campo CSV"
"CSV output encoding","codifica output CSV"
"CSV/XML (Cargo Manifest)","CSV / XML (manifesto di carico)"
"CSV/XML (Cargo Manifest)?","CSV / XML (manifesto di carico)?"
"Custom","costume"
"Custom Attribute","Attributo personalizzato"
"Custom attribute (1)","attributo personalizzato (1)"
"Custom attribute (2)","attributo personalizzato (2)"
"Custom attribute (3)","attributo personalizzato (3)"
"Custom attribute (4)","attributo personalizzato (4)"
"Custom CSV field separator","separatore di campo CSV personalizzato"
"Custom font file","file di font personalizzati"
"Custom image","immagine personalizzata"
"Custom Message : Background Color","Messaggio personalizzato: colore di sfondo"
"Custom Message : Color","Messaggio personalizzato: Colore"
"Custom Message : Font","Messaggio personalizzato: Font"
"Custom Message : Size","Messaggio personalizzato: Dimensioni"
"Custom Message : Style","Messaggio personalizzato: Style"
"Custom message under product list?","messaggio personalizzato sotto la lista dei prodotti?"
"Custom options column title","Opzioni personalizzate titolo della colonna"
"Custom Order Attribute","Ordine su ordinazione attributo"
"Custom page title","titolo della pagina personalizzata"
"Custom product attribute code (eg: shelf)","prodotto personalizzato codice attributo (ad esempio: mensola)"
"Custom product attribute?","attributo prodotto personalizzato?"
"Custom text image","testo immagine personalizzata"
"Custom text under product list?","Testo personalizzato sotto la lista dei prodotti?"
"Custom Value","Valore personalizzato"
"Custom weight fields?","campi di peso personalizzato?"
"Custom weightbased count?","weightbased personalizzato conteggio?"
"Custom Weightbased label?","Weightbased personalizzato etichetta?"
"Custom Weightbased text?","Weightbased Testo personalizzato?"
"Customer Address X-pos.","Indirizzo cliente X-pos."
"Customer attribute code","codice dell'attributo Customer"
"Customer Comments","i commenti dei clienti"
"Customer custom attribute?","attributo personalizzato del cliente?"
"Customer Email","clienti e-mail"
"Customer Email?","Clienti e-mail?"
"Customer group?","Gruppo cliente?"
"Customer ID (Footer) X-pos.","ID cliente (Footer) X-pos."
"Customer ID X-pos.","ID cliente X-pos."
"Customer ID?","Identificativo del cliente?"
"Customer name X-pos.","Nome del cliente X-pos."
"Customer VAT title","titolo di IVA clienti"
"Customer: Change "Print Invoice" to "PDF Invoices"?","Cliente: Modifica "Stampa fattura" per "Fatture PDF"?"
"Customer: Change "Print Order" to "PDF Invoices"?","Cliente: Change "Ordine di stampa" a "Fatture PDF"?"
"Customer: PDF Invoice button?","Cliente: pulsante PDF fattura?"
"Customer: PDF Packing Sheet button?","Cliente: PDF pulsante Imballaggio Scheda?"
"Customise 'Packed by' text","Personalizza 'Imballato dal' testo"
"Customise fonts/colours?","Personalizza font / colori?"
"Customize page title?","Personalizzare il titolo della pagina?"
"Date format","Formato data"
"Date printed?","Data stampata?"
"Day","Giorno"
"Deadline text","testo di scadenza"
"Deadline text / date?","Deadline text / data?"
"Default","Predefinito"
"Default : Yes","Predefinito: Sì"
"Default (Use standard)","Predefinito (uso standard)"
"Default (Use Total Price Xpos)","Predefinito (Usa Prezzo totale Xpos)"
"Default (Use total prixe Xpos)","Predefinito (Usa prixe totale Xpos)"
"Default top-right; eg. 'Invoice'","Predefinito in alto a destra; per esempio. 'Fattura'"
"Default top-right; eg. 'Packing Sheet'","Predefinito in alto a destra; per esempio. 'Imballaggio Foglio'"
"Default:","Predefinito:"
"Default: -230,-210","Predefinito: -230, -210"
"Default: ,","Predefinito: ,"
"Default: 'OK'","Predefinito: 'OK'"
"Default: 'OK' -->","Predefinito: 'OK' ->"
"Default: "Payment due "","Default: "Pagamento dovuto""
"Default: {blank}","Predefinito: {vuoto}"
"Default: #DDDDDD","Predefinito: #DDDDDD"
"Default: #FFFFFF","Predefinito: #FFFFFF"
"Default: 0<br />Eg. 21.6700 @ 0 = 22; @ 1 = 21.7; @ 2 = 21.67; @ -1 = 20","Default: 0 <br /> Eg. 21,6700 @ 0 = 22; @ 1 = 21,7; @ 2 = 21.67; @ -1 = 20"
"Default: 1<br />Eg. Change the display cost to match your actual end costs","Predefinito: 1 <br /> Eg. Modificare il costo del display per abbinare i costi finali effettivi"
