"'Allowance' column title",""Учет" в заголовке столбца"
"&nbsp;Eg. enter 'Captured amount' to not show authorize.net payments<br / >Separate multiple phrases by the pipe character: <b>|</b>","& NBSP; Например. введите "Захваченные количество", чтобы не показывать Authorize.NET платежи <br /> Разделяйте фраз по характеру трубы: <B> | </ b>"
"<b>Default Label dimensions (portrait):</b>","<B> По умолчанию размеры этикетки (портрет): </ b>"
"<b>Label dimensions:250,200</b>","<B> размеры этикетки: 250200 </ b>"
"<div class="column_config_section" style="width:60%!important">","<DIV класс = "column_config_section" стиль = "ширина: 60% важно">"
"<div class="column_config_section">","<DIV класс = "column_config_section">"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -12em;"><b>Structure:</b> <span class = "comment_code">{if X}</span><span class = "comment_code">{X}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />","<DIV класс = "column_config_section"> <DIV класс = стиль "column_config_para" = "маржа-топ: -12em;"> <B> Состав: </ b> <SPAN класс = "comment_code"> {если X} </ SPAN> <SPAN класс = "comment_code"> {X} </ SPAN>, | <SPAN класс = "comment_code"> {/, если} </ SPAN> <br /> <B> Можно использовать следующие коды: </ б > <br /> <пролет класс = "comment_code"> {префикс} </ SPAN> <SPAN класс = "comment_code"> {имя} </ SPAN> <SPAN класс = "comment_code"> {FirstName} </ SPAN> <SPAN класс = "comment_code"> {Lastname} </ SPAN> <SPAN класс = "comment_code"> {суффикс} </ SPAN> <SPAN класс = "comment_code"> {компания} </ SPAN> <SPAN класс = " comment_code "> {улица} </ SPAN> <SPAN класс =" comment_code "> {город} </ SPAN> <SPAN класс =" comment_code "> {почтовый индекс} </ SPAN> <SPAN класс =" comment_code "> {страна } </ SPAN> <br />"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{Attribute A}</span>,<span class = "comment_code">{Attribute  B}</span>","<DIV класс = "column_config_section"> <DIV класс = стиль "column_config_para" = "маржа-топ: -7.5em;"> <B> Состав: </ b> <SPAN класс = "comment_code"> {A} Атрибут < / SPAN>, <SPAN класс = "comment_code"> {B} Атрибут </ SPAN>"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{if x}</span><span class = "comment_code">{x}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />","<DIV класс = "column_config_section"> <DIV класс = стиль "column_config_para" = "маржа-топ: -7.5em;"> <B> Состав: </ b> <SPAN класс = "comment_code"> {если х} < / SPAN> <SPAN класс = "comment_code"> {х} </ SPAN>, | <SPAN класс = "comment_code"> {/, если} </ SPAN> <br /> <B> Можно использовать следующие коды: </ B> <br /> <пролет класс = "comment_code"> {префикс} </ SPAN> <SPAN класс = "comment_code"> {имя} </ SPAN> <SPAN класс = "comment_code"> {FirstName} </ SPAN > <SPAN класс = "comment_code"> {Lastname} </ SPAN> <SPAN класс = "comment_code"> {суффикс} </ SPAN> <SPAN класс = "comment_code"> {компания} </ SPAN> <SPAN класс = "comment_code"> {улица} </ SPAN> <SPAN класс = "comment_code"> {город} </ SPAN> <SPAN класс = "comment_code"> {почтовый индекс} </ SPAN> <SPAN класс = "comment_code"> { страна} </ SPAN> <br />"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b><br />","<DIV класс = "column_config_section"> <DIV класс = стиль "column_config_para" = "маржа-топ: -7.5em;"> <B> Состав: </ b> <br />"
"<div class="column_config_section"><div class="column_config_para">[No] Some couriers (like Royal Mail) require no accents in shipping labels.</div></div>","<DIV класс = "column_config_section"> <DIV класс = "column_config_para"> [Нет] Некоторые курьеры (например, Royal Mail) не требуют никаких акцентов в морских этикеток. </ DIV> </ DIV>"
"<div class="column_config_section"><div class="column_config_para"><b>Structure:</b><br />","<DIV класс = "column_config_section"> <DIV класс = "column_config_para"> <B> Состав: </ b> <br />"
"<div class="column_config_section"><div class="column_config_para">eg. Put your country, then only overseas orders will have country added </div></div>","<DIV класс = "column_config_section"> <DIV класс = "column_config_para"> например. Положите вашу страну, то только зарубежные заказы будут иметь страну добавил </ DIV> </ DIV>"
"<div class="column_config_section"><div class="column_config_para">If your PDFs print with missing or tofu (<b style="font-size:200%;font-weight:100;display:inline;position:relative;top:5px;">&#9647;</b>) characters, set this to 'Yes'.<br/>Setting this to 'Yes' will make your PDFs about 0.4mb bigger.<br/>If that doesn't work for you: set 'Customise fonts' to 'Yes'; then set 'Use non-roman characters to 'Yes'; then try the other font families.</div></div>","<DIV класс = "column_config_section"> <DIV класс = "column_config_para"> Если ваши PDF-файлы печати с отсутствующими или тофу (<б стиль = "размер шрифта: 200%; начертание шрифта: 100; дисплей: встроенный; положение: относительная ; верх: 5px; "> & # 9647; </ B>) символов, установите этот 'Да' <br/> Установка этого параметра в 'Да' сделает ваши PDF-файлы о 0.4mb большего <br/> Если это.. не работает для вас: набор '' Настройка шрифтов 'Да'; затем установите "Использовать нелатинские символы 'Да'; то попробуйте другие семейства шрифтов. </ DIV> </ DIV>"
"<div class="column_config_section"><div class="column_config_para">Set to the most prominent colour in your logo. [#8AC371]<br/>(Used for title borders).</div></div>","<DIV класс = "column_config_section"> <DIV класс = "column_config_para"> Установите самый видный цвет в логотипе. [# 8AC371] <br/> (Используется для названия границ). </ DIV> </ DIV>"
"<div class="column_config_section"><div class="column_config_para">Use this if you need a specific cutoff point (eg for labels) which the auto-cutoff is going over","<DIV класс = "column_config_section"> <DIV класс = "column_config_para"> Используйте это, если вам нужен конкретный момент отсечки (например, для этикеток), которое происходит через автоматическое отключение"
"<img src="//moogento.com/logo/moogento_tinylogo.lp.png" alt="Moogento" width="20" style="vertical-align:bottom;margin-left:-1px;"/> MOOGENTO Extensions","<IMG SRC = "// moogento.com/logo/moogento_tinylogo.lp.png" альт = "Moogento" ширина = "20" стиль = "вертикальное выравнивание: снизу; маржа налево: -1px;" /> MOOGENTO Расширения"
"18 Flag","18 Флаг"
"2 places","2 места"
"21 Flag","21 Флаг"
"2a Shipmethod match","Матч 2a Shipmethod"
"2b Shipmethod match","матч 2b Shipmethod"
"2c Shipmethod match","матч 2с Shipmethod"
"2d Country negative match","2d Страна отрицательное соответствие"
"2nd attribute?","Второй атрибут?"
"2nd background image?","2-й фоновое изображение?"
"2nd Custom page title","2-ой заказ заголовок страницы"
"2nd Image file","Второй файл изображения"
"2nd Order attribute code","2-го порядка код атрибута"
"2nd Order custom attribute?","2-го порядка пользовательский атрибут?"
"2nd page title","Второй заголовок страницы"
"2nd Sort by :","2-й Сортировать по:"
"2nd sort direction :","Второе направление сортировки:"
"3 places","3 места"
"3rd attribute?","Третий атрибут?"
"4 places","4 места"
"4th attribute?","4-й атрибут?"
"Above address","Выше адрес"
"According to the USPS all addresses should be capitalised to improve delivery time","В соответствии с USPS все адреса должны быть капитализированы, чтобы улучшить время доставки"
"According to the USPS all addresses should be capitalised to improve delivery time and accuracy","В соответствии с USPS все адреса должны быть капитализированы для улучшения времени доставки и точности"
"Action Menu Options","Опции меню Действие"
"Actual attribute code (eg: shelf)","Фактический код атрибута (например: полки)"
"Add 'Packed by' note?","Добавьте 'упакованный' ноты?"
"Add <b><a href="https://moogento.com/autocn22">autoCN22</a> Customs label?</b>","Добавить <B> <a href="https://moogento.com/autocn22"> autoCN22 </a> таможенной этикетке? </ B>"
"Add 1 per line, exact attribute labels which you *don't* want to show","Добавить 1 в строке, точные метки атрибутов, которые вы * не * хотите показать"
"Add 2nd Order ID barcode?","Добавить 2-го порядка ID штрих-код?"
"Add 2nd shipping address?","Добавить 2-й адрес доставки?"
"Add 2nd shipping-type image?","Добавить 2-й отправка типа изображения?"
"Add 3rd shipping-type image?","Добавить 3-го типа отправка изображения?"
"Add a 2nd background image?","Добавить фоновое изображение 2-й?"
"Add a 2nd page title?","Добавить 2-ое название страницы?"
"Add a background image?","Добавить фоновое изображение?"
"Add a flat shipping address?","Добавить плоский адрес доставки?"
"Add address label?","Добавить адрес метки?"
"Add an <b>autoCN22</b> page?","Добавить <B> autoCN22 </ b> страницы?"
"Add an <b>order-summary</b> label?","Добавить <B> порядка Резюме </ B> этикетки?"
"Add company address to header?","Добавить адрес компании заголовок?"
"Add company address?","Добавить адрес компании?"
"Add fixed weight?","Добавить фиксированный вес?"
"Add flare to gift messages?","Добавить к блик подарочных сообщений?"
"Add flat shipping address?","Добавить плоский адрес доставки?"
"Add full-page background image?","Добавить полную страницу фоновое изображение?"
"Add header logo?","Добавить заголовок логотип?"
"Add image background to label?","Добавить фоновое изображение на этикетке?"
"Add letterhead?","Добавить фирменный бланк?"
"Add logo?","Добавить логотип?"
"Add on right of SKU","Добавить на правом SKU"
"Add Order ID above address?","Добавьте идентификатор заказа выше адрес?"
"Add Order ID barcode?","Добавить ID заказа штрих-код?"
"Add ordered qty to stock-needed qty?","Добавьте упорядоченную Количество в наличии необходимого Кол-во?"
"Add page background image?","Добавить страницу фоновое изображение?"
"Add return address at bottom?","Добавить обратный адрес в нижней части?"
"Add return address?","Добавить обратный адрес?"
"Add shipping address at bottom?","Добавить адрес доставки в нижней части?"
"Add shipping label image?","Добавить ярлыке изображение?"
"Add shipping label?","Добавить ярлык доставки?"
"Add shipping-type image?","Добавить отправка типа изображения?"
"Add static text?","Добавить статический текст?"
"Add tax in order subtotal [Europe Standard]","Добавить налог в порядке итога [Европа Стандартный]"
"Add tax to number?","Добавить налог на номер?"
"Add tax to product line subtotal [US Standard]","Добавить налог на линии продукт итога [стандарт США]"
"Add tracking number as barcode?","Добавить идентификационный номер, как штрих-код?"
"Add tracking number?","Добавить идентификационный номер?"
"Address format","формат адреса"
"Address label : Color","Адрес этикетки: Цвет"
"Address label : Font","Адрес этикетки: Шрифт"
"Address label : Size","Адрес этикетки: Размер"
"Address label : Style","Адрес этикетки: Стиль"
"Address text","Адрес текст"
"Address text, Default","Адрес Текст, по умолчанию"
"Address text, Group 1","Адрес Текст, группа 1"
"Address text, Group 2","Адрес Текст, группа 2"
"Address text, Group 3","Адрес Текст, группа 3"
"Address-label Sheet Options","Параметры листа Адрес маркировать"
"Adds a field for shipping methods that don't come from WSA Store Pickup","Добавляет поле для методов доставки, которые не приходят от WSA магазина Pickup"
"Admin: Order-view PDF Invoice and Packing Sheet button?","Admin: Order-просмотр PDF счета-фактуры и упаковочный лист кнопка?"
"Admin: Order-view PDF Invoice button?","Admin: Order-Кнопка просмотра PDF счета-фактуры?"
"Admin: Order-view PDF Packing Sheet button?","Admin: Order-Кнопка просмотра PDF Лист упаковки?"
"Admin: Order-view PDF Zebra Label button?","Admin: Order-Кнопка просмотра PDF Zebra этикетки?"
"Admin: Order-view Resend Email button?","Admin: Кнопка Resend Email Заказ-просмотр?"
"Alert Flag","Флаг оповещения"
"Align text : center","Выравнивание текста: центр"
"Align text : left","Выравнивание текста: левый"
"All","Все"
"All : non-interlaced <b>and</b> non-transparent .png","Все: нечередованный <B> и </ b> непрозрачный .png"
"Allow Customers to Make PDFs?","Разрешить клиентам сделать PDF-файлы?"
"Alternate row color","Альтернативный цвет строки"
"Alternate row in picklists","Альтернативные строки в picklists"
"Alternate, billing down, shipping up","Альтернативные варианты, выставление счетов вниз, отправка вверх"
"Always override &amp; use courierRules Shipping Connector Label if available?","Всегда переопределять & Amp; использовать ярлык courierRules Shipping Connector, если таковые существуют?"
"Amount to add","Сумма для добавления"
"Angle Text","Угол текста"
"Angled Ribbon","Угловая лента"
"Applies to Packing Sheets and Invoices, in the section which shows shipping method etc.","Относится к упаковке листов и счетов-фактур, в разделе, который показывает способ доставки и т.п."
"Ascending","Восходящий"
"Attr.(1) Xpos","Атр. (1) XPOS"
"Attr.(2) Xpos","Атр. (2) XPOS"
"Attr.(3) Xpos","Атр. (3) XPOS"
"Attr.(4) Xpos","Атр. (4) XPOS"
"Attribute 1","Атрибут 1"
"Attribute 2","Атрибут 2"
"Attribute 3","Атрибут 3"
"Attribute 4","Атрибут 4"
"Attribute code","код Атрибут"
"Attribute code (eg. for shelving info, maybe you have an attribute: shelf)<br /><b>You need to have created this attribute, and assigned values for each product for it to work!</b>","Атрибут (код. Например, для стеллажей информации, может быть, у вас есть атрибут: полки) <br /> <B> Вам нужно создали этот атрибут, и присвоены значения для каждого продукта для его работы </ b>!"
"Attribute code 1:","Атрибут кода 1:"
"Attribute code 2:","Атрибут Код 2:"
"Attribute code 3:","Атрибут Код 3:"
"Attribute code 4:","Атрибут Код 4:"
"Attribute code 5:","Атрибут Код 5:"
"Attribute code for shelving info; eg. shelf","Атрибут код для стеллажа информации; например. полка"
"Attribute code for supplier data; Default: supplier","Атрибут Код данных поставщика; По умолчанию: поставщик"
"Attribute code; eg. shelf","Атрибут кода; например. полка"
"Attribute codes?","Атрибут коды?"
"Attribute column title","Атрибут заголовок столбца"
"Attribute to show","Атрибут, чтобы показать"
"Attribute to sort by :","Атрибут сортировать по:"
"Attribute to use as product name","Атрибут для использования в качестве названия продукта"
"Auto description 1","Авто 1 Описание"
"Auto description 3","Авто описание 3"
"Auto Processing","Авто Переработка"
"Automatic action :","Автоматическое действие:"
"Automatic action #2:","Автоматическое действие # 2:"
"Automatic action #3:","Автоматическое действие # 3:"
"Automation Connection","Подключение к автоматизации"
"Background Image","Изображение на заднем плане"
"Background image position","положение изображения фона"
"Background image?","Изображение на заднем плане?"
"barcode : Font","штрих-код: Шрифт"
"barcode font size","Размер шрифта штрих-кода"
"barcode Font Size (Orders)","штрих-кода Размер шрифта (Заказы)"
"barcode Font Size (Products)","штрих-кода Размер шрифта (продукты)"
"barcode font-size","штрих-кода размер шрифта"
"barcode size","размер штрих-кода"
"barcode X-pos.","штрих-кода X-поз."
"Because the Order currency is different from the Store currency, the conversion from","Поскольку валюта заказа отличается от валюты магазина, преобразование"
"Beside address","Кроме адреса"
"Billing address position","Положение Платежный адрес"
"Billing address posititon","Платежный адрес posititon"
"Billing address title","Платежный адрес в заголовке"
"Bkg","банковское дело"
"Blank = #000000 (#HEX colour code)","Пробел = # 000000 (#HEX код цвета)"
"Blank box image","Пустое поле изображения"
"Bold","Жирный"
"Bold 'Extra shipping details' labels?","этикетки жирным шрифтом "дополнительные сведения о доставке"?"
"Bold italic","Жирный курсив"
"Bold last line in page-base shipping addresses?","Жирный последняя строка страницы базовых адресов доставки?"
"Bold last line in page-top shipping addresses?","Жирный последняя строка страницы верхних адресов доставки?"
"Bold product name?","Жирный название продукта?"
"Border color","Цвет границы"
"Bottom of page","Внизу страницы"
"Box 1 Image","Вставка 1 Изображение"
"Box 2a Image (Store Pickup)","Box 2a Изображение (магазин Pickup)"
"Box 2b Image (Express Mail)","Вставка 2b Изображение (Express Mail)"
"Box 2c Image (Priority International)","Вставка изображения 2в (приоритет International)"
"Box 2d Image (Standard International)","Вставка 2d изображения (Standard International)"
"Box 3 Image","Вставка 3 Изображение"
"Box count estimation?","Box рассчитывать оценку?"
"Bring up top address?","Поднимают верхний адрес?"
"Buttons for PDFs","Кнопки для PDF-файлов"
"By default we output ANSI, which works well for Windows machines and special characters.<br >If you need UTF-8, just choose that here","По умолчанию мы выводим ANSI, который хорошо работает для машин Windows, и специальных символов. <br> Если вам нужно UTF-8, просто выбрать, что здесь"
"By Height","по высоте"
"By Width","По ширине"
"Calculate line totals by:","Расчет итоговых строк по:"
"Callout colour","Выноска цвет"
"Can be handy to reduce customer support - eg. set to a custom Processing status of 'Packing your order now'","Может быть полезно для уменьшения поддержки клиентов - например. установлен в состояние пользовательского обработки "Упаковка заказ""
"Cancel?","Отмена?"
"Capitalise shipping labels?","Прописными буквами судоходства этикетки?"
"Category translation","Категория перевод"
"Center values?","Значения Center?"
"Centered in page","По центру страницы"
"Centered in product list","Сосредоточенный в списке продуктов"
"Change order status","Изменение статуса заказа"
"Change the layout of shipping addresses","Изменение расположения адресов доставки"
"Change to status:","Изменение в статусе:"
"Check for gift message?","Проверьте сообщение для подарка?"
"Clear Cached Images in pickPack","Очистить Cached Изображения в pickPack"
"Code","Код"
"Color","цвет"
"Color attribute","атрибут Color"
"Color X-pos.","Цвет X-поз."
"Column mapping","отображение столбцов"
"Columns Y-X-pos.","Колонны Y-X-поз."
"Combine attribute?","Комбинат атрибут?"
"Combine custom attributes under product line?","Комбинат пользовательские атрибуты в соответствии с продуктовой линейки?"
"Combine custom product attributes under the product line?","Объединить атрибуты пользовательского продукта под продуктовой линейки?"
"Combine pdfs","комбинат PDFs"
"Combine product line details?","Объединить детали продуктовой линейки?"
"Combine the custom attributes listed below?","Объедините пользовательские атрибуты перечислены ниже?"
"Combined Attributes Xpos","Комбинированные Атрибуты XPOS"
"Combined Packing Sheet/Invoice' grouped by Order ID?","Комбинированный упаковочный лист / счет-фактура ", сгруппированные по заказа ID?"
"Combined pdfs?","Комбинированные PDFs?"
"Comma separated top,bottom widths (eg 1,2)","Запятая разделены сверху, снизу ширины (например, 1,2)"
"Comma-separated list of customer group names where you don't want the group name","Разделенных запятыми список имен групп клиентов, где вы не хотите, название группы"
"Comma-separated list of SKUs to *not* show","Разделенных запятыми список артикулов до * нет * шоу"
"Comma-separated list of SKUs to *not* show a count for","Разделенных запятыми список артикулов до * не * показать счетчик для"
"Comments","Комментарии"
"Company address","Адрес компании"
"Company address : Color","Адрес компании: Цвет"
"Company address : Font","Адрес компании: Шрифт"
"Company address : Size","Адрес компании: Размер"
"Company address : Style","Адрес компании: Стиль"
"Company address, Default","Адрес компании, по умолчанию"
"Company address, Group 1","Адрес компании, группа 1"
"Company address, Group 2","Адрес компании, группа 2"
"Company address, Group 3","Адрес компании, группа 3"
"Condition","Состояние"
"Configurable product name","Настраиваемый название продукта"
"Cost (base) to (display) exchange rate","Стоимость (основа) (дисплей) обменный курс"
"Cost currency prefix","Стоимость валюты префикс"
"Cost multiplier","мультипликатор стоимости"
"Cost subtotal?","Стоимость субтотальное?"
"courierRules Method","Метод courierRules"
"courierRules method?","Метод courierRules?"
"courierRules Shipping Method","courierRules Способ доставки"
"CSV (Order-combined Products)","CSV (Order комбинированные продукты)"
"CSV (Order-combined Products) Options","CSV (Order комбинированные продукты) Варианты"
"CSV (Order-combined Products)?","CSV (Order комбинированные продукты)?"
"CSV (Order-separated Products)","CSV (Order разделённых Products)"
"CSV (Order-separated Products) Options","CSV (Order разделённых Products) Опции"
"CSV (Order-separated Products)?","CSV (Order разделённых Products)?"
"CSV (Orders)","CSV (заказы)"
"CSV (Orders) Options","CSV (заказов) Варианты"
"CSV (Orders)?","CSV (заказы)?"
"CSV field separator","Сепаратор CSV поле"
"CSV output encoding","кодировку выходных данных CSV"
"CSV/XML (Cargo Manifest)","CSV / XML (грузовой манифест)"
"CSV/XML (Cargo Manifest)?","CSV / XML (грузовой манифест)?"
"Custom","изготовленный на заказ"
"Custom Attribute","Пользовательский атрибут"
"Custom attribute (1)","Пользовательский атрибут (1)"
"Custom attribute (2)","Пользовательский атрибут (2)"
"Custom attribute (3)","Пользовательский атрибут (3)"
"Custom attribute (4)","Пользовательский атрибут (4)"
"Custom CSV field separator","Пользовательский разделитель CSV поле"
"Custom font file","Пользовательский файл шрифта"
"Custom image","Пользовательские изображения"
"Custom Message : Background Color","Пользовательские Сообщение: Цвет фона"
"Custom Message : Color","Пользовательские Сообщение: Цвет"
"Custom Message : Font","Пользовательские Сообщение: Шрифт"
"Custom Message : Size","Собственное сообщение: Размер"
"Custom Message : Style","Пользовательские Сообщение: Стиль"
"Custom message under product list?","Собственное сообщение под списком продуктов?"
"Custom options column title","Пользовательские параметры заголовка столбца"
"Custom Order Attribute","Произвольный заказ Атрибут"
"Custom page title","Название Пользовательские страницы"
"Custom product attribute code (eg: shelf)","Пользовательский код атрибута продукта (например: полки)"
"Custom product attribute?","атрибут пользовательского продукта?"
"Custom text image","Пользовательский текст изображения"
"Custom text under product list?","Пользовательский текст под списком продуктов?"
"Custom Value","Пользовательское значение"
"Custom weight fields?","Поля Пользовательские вес?"
"Custom weightbased count?","Пользовательские weightbased подсчет?"
"Custom Weightbased label?","Пользовательские Weightbased ярлык?"
"Custom Weightbased text?","Пользовательские Weightbased текст?"
"Customer Address X-pos.","Заказчик Адрес X-поз."
"Customer attribute code","Код атрибута клиента"
"Customer Comments","Комментарии клиентов"
"Customer custom attribute?","изготовленный под заказ клиента атрибут?"
"Customer Email","Клиент электронной почты"
"Customer Email?","Клиент электронной почты?"
"Customer group?","Группа клиентов?"
"Customer ID (Footer) X-pos.","Идентификатор клиента (Footer) X-поз."
"Customer ID X-pos.","Идентификатор клиента X-поз."
"Customer ID?","Пользовательский ИД?"
"Customer name X-pos.","Имя клиента X-поз."
"Customer VAT title","Название НДС Заказчик"
"Customer: Change "Print Invoice" to "PDF Invoices"?","Заказчик: Изменить "Печать счета-фактуры" в "PDF" счетов-фактур?"
"Customer: Change "Print Order" to "PDF Invoices"?","Заказчик: Изменить "Print Order" в "PDF" счетов-фактур?"
"Customer: PDF Invoice button?","Клиент: кнопка PDF счета-фактуры?"
"Customer: PDF Packing Sheet button?","Заказчик: PDF кнопка упаковки Лист?"
"Customise 'Packed by' text","Customise 'упакованный' текст"
"Customise fonts/colours?","Настройка шрифтов / цветов?"
"Customize page title?","Настройка заголовка страницы?"
"Date format","Формат даты"
"Date printed?","Дата печатается?"
"Day","День"
"Deadline text","Срок текста"
"Deadline text / date?","Крайний текст / дата?"
"Default","По умолчанию"
"Default : Yes","По умолчанию: Да"
"Default (Use standard)","По умолчанию (стандартное использование)"
"Default (Use Total Price Xpos)","По умолчанию (Использование Общая стоимость XPOS)"
"Default (Use total prixe Xpos)","По умолчанию (Использовать общая prixe XPOS)"
"Default top-right; eg. 'Invoice'","По умолчанию верхний правый; например. 'Выставленный счет'"
"Default top-right; eg. 'Packing Sheet'","По умолчанию верхний правый; например. 'Упаковка Лист'"
"Default:","По умолчанию:"
"Default: -230,-210","По умолчанию: -230, -210"
"Default: ,","По умолчанию: ,"
"Default: 'OK'","По умолчанию: 'OK'"
"Default: 'OK' -->","По умолчанию: 'OK' ->"
"Default: "Payment due "","По умолчанию: "Оплата за счет""
"Default: {blank}","По умолчанию: {} пусто"
"Default: #DDDDDD","По умолчанию: #DDDDDD"
"Default: #FFFFFF","По умолчанию: #FFFFFF"
"Default: 0<br />Eg. 21.6700 @ 0 = 22; @ 1 = 21.7; @ 2 = 21.67; @ -1 = 20","По умолчанию: 0 <br /> Например. 21,6700 @ 0 = 22; @ 1 = 21,7; @ 2 = 21,67; @ -1 = 20"
