"'Allowance' column title","заглавие колона "Помощи""
"[Yes]<br />- If you have spreadsheet cells getting mixed up, check this is turned on.<br />- If set to Yes, set the spreadsheet importer to 'Fields de-limited by " character'.","[Yes] <br /> -. Ако имате клетки от електронна таблица да се смесят, се провери това е включен <br /> - Ако изберете Yes, задаване на вносителя за електронни таблици, за да "Fields де-ограничено от" характер "."
"&nbsp;&nbsp;Custom Value","& Nbsp; & Nbsp; митническа стойност"
"&nbsp;&nbsp;Value","& Nbsp; & Nbsp; Value"
"&nbsp;Eg. enter 'Captured amount' to not show authorize.net payments<br / >Separate multiple phrases by the pipe character: <b>|</b>","& Nbsp; Напр. въведете "Заснето сума", за да не се покаже authorize.net плащания <br /> Отделни няколко фрази от характера на тръбата: <B> | </ B>"
"<b>Default Label dimensions (portrait):</b>","<Б> размери по подразбиране на етикета (портрет): </ B>"
"<b>Label dimensions:250,200</b>","<Б> размери на етикета: 250 200 </ B>"
"<div class="column_config_section" style="width:60%!important">","<DIV клас = "column_config_section" стил = "ширина: 60% важно">"
"<div class="column_config_section">","<DIV клас = "column_config_section">"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -12em;"><b>Structure:</b> <span class = "comment_code">{if X}</span><span class = "comment_code">{X}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />","<DIV клас = "column_config_section"> <DIV клас = "column_config_para" стил = "марж-нагоре: -12em;"> <б> Структура: </ B> <педя клас = "comment_code"> {ако X} </ педя> <педя клас = "comment_code"> {X} </ педя>, | <педя клас = "comment_code"> {/ ако} </ педя> <br /> <б> могат да използват тези кодове: </ б > <br /> <педя клас = "comment_code"> {префикс} </ педя> <педя клас = "comment_code"> {име} </ педя> <педя клас = "comment_code"> {FirstName} </ педя> <педя клас = "comment_code"> {фамилия} </ педя> <педя клас = "comment_code"> {наставка} </ педя> <педя клас = "comment_code"> {компания} </ педя> <педя клас = " comment_code "> {улица} </ педя> <педя клас =" comment_code "> {град} </ педя> <педя клас =" comment_code "> {пощенски код} </ педя> <педя клас =" comment_code "> {страна } </ педя> <br />"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{Attribute A}</span>,<span class = "comment_code">{Attribute  B}</span>","<DIV клас = "column_config_section"> <DIV клас = "column_config_para" стил = "марж-нагоре: -7.5em;"> <б> Структура: </ B> <педя клас = "comment_code"> {Умение A} < / педя>, <педя клас = "comment_code"> {Умение B} </ педя>"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{if x}</span><span class = "comment_code">{x}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />","<DIV клас = "column_config_section"> <DIV клас = "column_config_para" стил = "марж-нагоре: -7.5em;"> <б> Структура: </ B> <педя клас = "comment_code"> {ако х} < / педя> <педя клас = "comment_code"> {х} </ педя>, | <педя клас = "comment_code"> {/ ако} </ педя> <br /> <б> могат да използват тези кодове: </ б> <br /> <педя клас = "comment_code"> {префикс} </ педя> <педя клас = "comment_code"> {име} </ педя> <педя клас = "comment_code"> {FirstName} </ педя > <педя клас = "comment_code"> {фамилия} </ педя> <педя клас = "comment_code"> {наставка} </ педя> <педя клас = "comment_code"> {компания} </ педя> <педя клас = "comment_code"> {улица} </ педя> <педя клас = "comment_code"> {град} </ педя> <педя клас = "comment_code"> {пощенски код} </ педя> <педя клас = "comment_code"> { страна} </ педя> <br />"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b><br />","<DIV клас = "column_config_section"> <DIV клас = "column_config_para" стил = "марж-нагоре: -7.5em;"> <б> Структура: </ B> <br />"
"<div class="column_config_section"><div class="column_config_para">[No] Some couriers (like Royal Mail) require no accents in shipping labels.</div></div>","<DIV клас = "column_config_section"> <DIV клас = "column_config_para"> [No] Някои куриери (като Royal Mail) не изискват акценти в етикетите на доставка. </ DIV> </ DIV>"
"<div class="column_config_section"><div class="column_config_para"><b>Structure:</b><br />","<DIV клас = "column_config_section"> <DIV клас = "column_config_para"> <б> Структура: </ B> <br />"
"<div class="column_config_section"><div class="column_config_para">eg. Put your country, then only overseas orders will have country added </div></div>","<DIV клас = "column_config_section"> <DIV клас = "column_config_para"> напр. Сложи си страна, а след това само задгранични поръчки ще имат държава, добави </ DIV> </ DIV>"
"<div class="column_config_section"><div class="column_config_para">If your PDFs print with missing or tofu (<b style="font-size:200%;font-weight:100;display:inline;position:relative;top:5px;">&#9647;</b>) characters, set this to 'Yes'.<br/>Setting this to 'Yes' will make your PDFs about 0.4mb bigger.<br/>If that doesn't work for you: set 'Customise fonts' to 'Yes'; then set 'Use non-roman characters to 'Yes'; then try the other font families.</div></div>","<DIV клас = "column_config_section"> <DIV клас = "column_config_para"> Ако вашите PDF файлове печатат с липсващи или тофу (<б стил = "шрифт с размер: 200%; шрифт тегло: 100; дисплей: инлайн; позиция: относителна ; отгоре: 5px; "> & # 9647; </ B>) символи, установени това да" да "<br/> Настройването на тази на" да ", ще направи вашите PDF файлове за 0.4mb голяма <br/> Ако това.. не работи за вас: комплект "Персонализиране на шрифтовете" до "Да"; след това задайте "Използване на не-латински букви на" Да "; След това се опитайте другите семейства шрифтове. </ DIV> </ DIV>"
"<div class="column_config_section"><div class="column_config_para">Set to the most prominent colour in your logo. [#8AC371]<br/>(Used for title borders).</div></div>","<DIV клас = "column_config_section"> <DIV клас = "column_config_para"> Задава се най-видният цвят в логото си. [# 8AC371] <br/> (Използва се за заглавие граници). </ DIV> </ DIV>"
"<div class="column_config_section"><div class="column_config_para">Use this if you need a specific cutoff point (eg for labels) which the auto-cutoff is going over","<DIV клас = "column_config_section"> <DIV клас = "column_config_para"> Използвайте това, ако имате нужда от специфична гранична точка (например за етикети), която автоматично изключване ще се над"
"<img src="//moogento.com/logo/moogento_tinylogo.lp.png" alt="Moogento" width="20" style="vertical-align:bottom;margin-left:-1px;"/> MOOGENTO Extensions","<IMG SRC = "// moogento.com/logo/moogento_tinylogo.lp.png" ALT = "Moogento" ширина = "20" стил = "вертикално подравняване: дъно; марж-наляво: -1px;" /> MOOGENTO Extensions"
"18 Flag","18 Flag"
"2 places","2 места"
"21 Flag","21 Flag"
"2a Shipmethod match","2а Shipmethod мач"
"2b Shipmethod match","2b Shipmethod мач"
"2c Shipmethod match","2в Shipmethod мач"
"2d Country negative match","2г Country отрицателен мач"
"2nd attribute?","2-ри атрибут?"
"2nd background image?","2-ри фоново изображение?"
"2nd Custom page title","2-ри по поръчка заглавие на страница"
"2nd Image file","2-ри файл Изображение"
"2nd Order attribute code","2-ри ред атрибут код"
"2nd Order custom attribute?","2-ри ред обичай атрибут?"
"2nd page title","2-ри заглавие на страница"
"2nd Sort by :","2-ри Сортиране по:"
"2nd sort direction :","2-ри посока на сортиране:"
"3 places","3 места"
"3rd attribute?","3-ти атрибут?"
"4 places","4 места"
"4th attribute?","4-ти атрибут?"
"Above address","Над адрес"
"According to the USPS all addresses should be capitalised to improve delivery time","Според USPS всички адреси трябва да се капитализират, за да се подобри времето за доставка"
"According to the USPS all addresses should be capitalised to improve delivery time and accuracy","Според USPS всички адреси трябва да се капитализират, за да се подобри времето за доставка и точност"
"Action Menu Options","Опции за действие Меню"
"Actual attribute code (eg: shelf)","Действително атрибут код (например: рафт)"
"Add 'Packed by' note?","Добави "Опаковал от" бележка?"
"Add <b><a href="https://moogento.com/autocn22">autoCN22</a> Customs label?</b>","Добави <б> <a href="https://moogento.com/autocn22"> autoCN22 </a> Митници етикет? </ B>"
"Add 1 per line, exact attribute labels which you *don't* want to show","Добавя се 1 на ред, точните етикети атрибут, който ви * не * искат да покажат"
"Add 2nd Order ID barcode?","Добавете 2-ри ред ID баркод?"
"Add 2nd shipping address?","Добави втори адрес за доставка?"
"Add 2nd shipping-type image?","Добави втори корабоплаването тип изображение?"
"Add 3rd shipping-type image?","Добави трета корабоплаването тип изображение?"
"Add a 2nd background image?","Добавяне на 2-ри фоново изображение?"
"Add a 2nd page title?","Добавяне на 2-ра страница заглавие?"
"Add a background image?","Добавяне на фоново изображение?"
"Add a flat shipping address?","Добавяне на адрес плоска корабоплаването?"
"Add address label?","Добавяне на адрес етикет?"
"Add an <b>autoCN22</b> page?","Добавете <б> autoCN22 </ B> страница?"
"Add an <b>order-summary</b> label?","Добавете <б> резюме на поръчката </ б> етикет?"
"Add company address to header?","Добавете фирмата адрес за заглавна?"
"Add company address?","Добави фирма адрес?"
"Add fixed weight?","Добави фиксирано тегло?"
"Add flare to gift messages?","Добави пристъп на подарък съобщения?"
"Add flat shipping address?","Добави плосък адрес за доставка?"
"Add full-page background image?","Добави цяла страница фоново изображение?"
"Add header logo?","Добави удар с глава на лого?"
"Add image background to label?","Добави фоново изображение на етикета?"
"Add letterhead?","Добави бланки?"
"Add logo?","Добавете лого?"
"Add on right of SKU","Добавяне на полето на SKU"
"Add Order ID above address?","Добави Поръчка ID-горе адрес?"
"Add Order ID barcode?","Добави Поръчка ID баркод?"
"Add ordered qty to stock-needed qty?","Добави нареди Количество на склад необходимото бр?"
"Add page background image?","Добавяне на страница фоново изображение?"
"Add return address at bottom?","Добави обратен адрес в дъното?"
"Add return address?","Добави обратен адрес?"
"Add shipping address at bottom?","Добавяне на адрес за доставка в дъното?"
"Add shipping label image?","Добави корабоплаването изображение етикет?"
"Add shipping label?","Добави етикет корабоплаването?"
"Add shipping-type image?","Добави корабоплаването тип изображение?"
"Add static text?","Добавете статичен текст?"
"Add tax in order subtotal [Europe Standard]","Добави данък за междинна сума [Европа Standard]"
"Add tax to number?","Добави данък на номер?"
"Add tax to product line subtotal [US Standard]","Добави данък за продуктова линия междинна сума [US Standard]"
"Add tracking number as barcode?","Добави номер за проследяване, както баркод?"
"Add tracking number?","Добави номер за проследяване?"
"Address format","Адрес формат"
"Address label : Color","Адрес етикет: Color"
"Address label : Font","Адрес етикет: Font"
"Address label : Size","Адрес етикет: Размер"
"Address label : Style","Адрес етикет: Style"
"Address text","Адрес на текст"
"Address text, Default","Адрес текст, Default"
"Address text, Group 1","Адрес текст, Група 1"
"Address text, Group 2","Адрес текст, Група 2"
"Address text, Group 3","Адрес текст, Група 3"
"Address-label Sheet Options","Опции Sheet Адрес етикет"
"Adds a field for shipping methods that don't come from WSA Store Pickup","Добавя поле за методи на доставка, които не идват от WSA Store Pickup"
"Admin: Order-view PDF Invoice and Packing Sheet button?","Admin: Поръчка виждане PDF фактура и опаковане Sheet бутон?"
"Admin: Order-view PDF Invoice button?","Admin: Поръчка виждане бутон PDF фактура?"
"Admin: Order-view PDF Packing Sheet button?","Admin: Поръчка виждане бутон PDF Опаковка Sheet?"
"Admin: Order-view PDF Zebra Label button?","Admin: Поръчка виждане бутон PDF Zebra Label?"
"Admin: Order-view Resend Email button?","Admin: Поръчка виждане бутон ми нов е-мейл?"
"Alert Flag","Alert Flag"
"Align text : center","Изравнете текст: център"
"Align text : left","Привеждане на текста: ляво"
"All","всички"
"All : non-interlaced <b>and</b> non-transparent .png","Всички: развивка <б> и </ B> непрозрачен .png"
"Allow Customers to Make PDFs?","Позволи на потребителите да PDF файлове?"
"Alternate row color","Алтернативен цвят ред"
"Alternate row in picklists","Alternate ред в picklists"
"Alternate, billing down, shipping up","Alternate, фактуриране надолу, транспортните разходи до"
"Always override &amp; use courierRules Shipping Connector Label if available?","Винаги замени & усилвател; използвате courierRules Доставка Connector Label ако има такива?"
"Amount to add","Сума, за да добавите"
"Angle Text","Angle Текст"
"Angled Ribbon","Ъгловата Ribbon"
"Applies to Packing Sheets and Invoices, in the section which shows shipping method etc.","Отнася се за опаковане листове и фактури, в частта, която показва начин за доставка и т.н."
"Ascending","Възходящ"
"Attr.(1) Xpos","ATTR. (1) Xpos"
"Attr.(2) Xpos","ATTR. (2) Xpos"
"Attr.(3) Xpos","ATTR. (3) Xpos"
"Attr.(4) Xpos","ATTR. (4) Xpos"
"Attribute 1","Умение 1"
"Attribute 2","Умение 2"
"Attribute 3","Умение 3"
"Attribute 4","Умение 4"
"Attribute code","Умение код"
"Attribute code (eg. for shelving info, maybe you have an attribute: shelf)<br /><b>You need to have created this attribute, and assigned values for each product for it to work!</b>","Умение код (. Например за стелажи информация, може би имате атрибут: рафт) <br /> <б> Трябва да сте създали този атрибут, и целеви стойности за всеки продукт, за да може да работи </ б>!"
"Attribute code 1:","Умение код 1:"
"Attribute code 2:","Умение код 2:"
"Attribute code 3:","Умение код 3:"
"Attribute code 4:","Умение код 4:"
"Attribute code 5:","Умение код 5:"
"Attribute code for shelving info; eg. shelf","Умение код за стелажи информация; напр. рафт"
"Attribute code for supplier data; Default: supplier","Умение код за данни на доставчика; По подразбиране: доставчика"
"Attribute code; eg. shelf","Умение код; напр. рафт"
"Attribute codes?","Умение кодове?"
"Attribute column title","Умение заглавие колона"
"Attribute to show","Умение да се покаже"
"Attribute to sort by :","Умение да сортирате по:"
"Attribute to use as product name","Умение да се използва като име на продукт"
"Auto description 1","Auto описание 1"
"Auto description 3","Auto описание 3"
"Auto Processing","Auto Processing"
"Automatic action :","Автоматично действие:"
"Automatic action #2:","Автоматично действие # 2:"
"Automatic action #3:","Автоматично действие # 3:"
"Automation Connection","Автоматизация Connection"
"Background Image","Фоново изображение"
"Background image position","позиция на фона на изображението"
"Background image?","Фоново изображение?"
"barcode : Font","баркод: Font"
"barcode font size","размер баркод шрифт"
"barcode Font Size (Orders)","Размер баркод Font (поръчки)"
"barcode Font Size (Products)","баркод Размер на шрифта (Продукти)"
"barcode font-size","баркод шрифта"
"barcode size","размер баркод"
"barcode X-pos.","баркод X-поз."
"Because the Order currency is different from the Store currency, the conversion from","Тъй като валутата на поръчката е различна от валутата на магазин, превръщането от"
"Beside address","Освен адрес"
"Billing address position","позиция Адрес за фактуриране"
"Billing address posititon","Адрес за фактуриране posititon"
"Billing address title","Таксуване заглавие адрес"
"Bkg","BKG"
"Blank = #000000 (#HEX colour code)","Blank = # 000000 (# шестнадесетична цветен код)"
"Blank box image","Празна кутия изображение"
"Bold","смел"
"Bold 'Extra shipping details' labels?","Смели "Екстра кораби подробности" етикети?"
"Bold italic","удебелен курсив"
"Bold last line in page-base shipping addresses?","Bold последния ред в страницата базови адреса за доставка?"
"Bold last line in page-top shipping addresses?","Bold последния ред в страницата-топ на адреса за доставка?"
"Bold product name?","Bold име на продукт?"
"Border color","цвят на рамката"
"Bottom of page","Долната част на страницата"
"Box 1 Image","Клетка 1 Изображение"
"Box 2a Image (Store Pickup)","Box 2а Image (Store Pickup)"
"Box 2b Image (Express Mail)","Box 2b Image (Express Mail)"
"Box 2c Image (Priority International)","Box 2в Image (Приоритетна International)"
"Box 2d Image (Standard International)","Box 2D изображение (Standard International)"
"Box 3 Image","Каре 3 Изображение"
"Box count estimation?","Box брои оценка?"
"Bring up top address?","Води началото адрес?"
"Buttons for PDFs","Копчета за PDF файлове"
"By default we output ANSI, which works well for Windows machines and special characters.<br >If you need UTF-8, just choose that here","По подразбиране ние изход ANSI, който работи добре за Windows машини и специални символи. <br> Ако имате нужда от UTF-8, просто изберете, че тук"
"By Height","по височина"
"By Width","Чрез Ширина"
"Calculate line totals by:","Изчислете суми линия от:"
"Callout colour","цвят на допълнително описание"
"Can be handy to reduce customer support - eg. set to a custom Processing status of 'Packing your order now'","Може да е полезно за намаляване на поддръжка на клиенти - напр. настроен на статут на потребителски Обработка на "Опаковка поръчката си сега""
"Cancel?","Отмени?"
"Capitalise shipping labels?","Capitalise етикети доставка?"
"Category translation","Категория превод"
"Center values?","Център ценности?"
"Centered in page","Центрирано в страницата"
"Centered in product list","Центрирано в списъка за продукт"
"Change order status","Промяна на състоянието на поръчка"
"Change the layout of shipping addresses","Промяна на оформлението на адреси за доставка"
"Change to status:","Промяна на състоянието:"
"Check for gift message?","Проверете за съобщение подарък?"
"Clear Cached Images in pickPack","Ясно кеширани изображения в pickPack"
"Code","код"
"Color","цвят"
"Color attribute","Цвят атрибут"
"Color X-pos.","Цвят X-поз."
"Column mapping","Колона картографиране"
"Columns Y-X-pos.","Колони Y-X-поз."
"Combine attribute?","Комбинирайте атрибут?"
"Combine custom attributes under product line?","Комбинирайте персонализирани атрибути под продуктова линия?"
"Combine custom product attributes under the product line?","Комбинирайте атрибути потребителски продукт под продуктовата линия?"
"Combine pdfs","Комбинирайте PDF файлове"
"Combine product line details?","Комбинирайте подробности продуктова линия?"
"Combine the custom attributes listed below?","Съчетайте персонализирани атрибути, изброени по-долу?"
"Combined Attributes Xpos","Комбинираната атрибути Xpos"
"Combined Packing Sheet/Invoice' grouped by Order ID?","Комбинирано опаковане Sheet / Фактура "групирани по Поръчка ID?"
"Combined pdfs?","Комбинирани PDF файлове?"
"Comma separated top,bottom widths (eg 1,2)","Разделени със запетая отгоре, отдолу ширини (например 1,2)"
"Comma-separated list of customer group names where you don't want the group name","Разделен със запетаи списък с имена на клиенти на групата, където не искате името на групата"
"Comma-separated list of SKUs to *not* show","Разделен със запетаи списък на ИЕ да * не * шоу"
"Comma-separated list of SKUs to *not* show a count for","Разделен със запетаи списък на ИЕ да * не * покажат титър за"
"Comments","Коментари"
"Company address","Адрес на компанията"
"Company address : Color","Адрес на фирмата: Color"
"Company address : Font","Адрес на фирмата: Font"
"Company address : Size","Адрес на фирмата: Размер"
"Company address : Style","Адрес на фирмата: Стил"
"Company address, Default","Фирма адрес, Default"
"Company address, Group 1","Фирма адрес, Група 1"
"Company address, Group 2","Фирма адрес, Група 2"
"Company address, Group 3","Фирма адрес, Група 3"
"Condition","състояние"
"Configurable product name","Конфигуриране име на продукт"
"Cost (base) to (display) exchange rate","Разходите (база) до (дисплей) обменен курс"
"Cost currency prefix","Разходите валута префикса"
"Cost multiplier","мултипликатор на разходите"
"Cost subtotal?","Междинна сума на разходите?"
"courierRules Method","courierRules Метод"
"courierRules method?","метод courierRules?"
"courierRules Shipping Method","courierRules Начин на доставка"
"CSV (Order-combined Products)","CSV (Поръчка-комбинирани продукти)"
"CSV (Order-combined Products) Options","CSV (Поръчка-комбинирани продукти) Опции"
"CSV (Order-combined Products)?","CSV (Поръчка-комбинирани продукти)?"
"CSV (Order-separated Products)","CSV (Поръчка разделени Продукти)"
"CSV (Order-separated Products) Options","CSV (Поръчка разделени Продукти) Опции"
"CSV (Order-separated Products)?","CSV (Поръчка разделени продукти)?"
"CSV (Orders)","CSV (поръчки)"
"CSV (Orders) Options","CSV (нареждания), Options"
"CSV (Orders)?","CSV (поръчки)?"
"CSV field separator","разделител на CSV"
"CSV output encoding","CSV изход кодиране"
"CSV/XML (Cargo Manifest)","CSV / XML (Cargo Manifest)"
"CSV/XML (Cargo Manifest)?","CSV / XML (Cargo Manifest)?"
"Custom","Персонализиран"
"Custom Attribute","персонализирана Умение"
"Custom attribute (1)","Персонализирана атрибут (1)"
"Custom attribute (2)","Персонализирана атрибут (2)"
"Custom attribute (3)","Персонализирана атрибут (3)"
"Custom attribute (4)","Персонализирана атрибут (4)"
"Custom CSV field separator","Персонализирана CSV поле сепаратор"
"Custom font file","файл персонализиран шрифт"
"Custom image","на изображението"
"Custom Message : Background Color","Персонализирано съобщение: Цвят на фона"
"Custom Message : Color","Персонализирано съобщение: Color"
"Custom Message : Font","Персонализирано съобщение: Font"
"Custom Message : Size","Персонализирано съобщение: Размер"
"Custom Message : Style","Персонализирано съобщение: Style"
"Custom message under product list?","Персонализирано съобщение съгласно списък продукт?"
"Custom options column title","опции на персонализирана колона"
"Custom Order Attribute","По поръчка Поръчка Умение"
"Custom page title","заглавие персонализирана страница"
"Custom product attribute code (eg: shelf)","Персонализирана продукт атрибут код (например: рафт)"
"Custom product attribute?","Персонализирана продукт атрибут?"
"Custom text image","текст на изображението по поръчка"
"Custom text under product list?","Персонализиран текст под списък продукт?"
"Custom Value","митническа стойност"
"Custom weight fields?","Персонализирана тегло полета?"
"Custom weightbased count?","Персонализирана weightbased брой?"
"Custom Weightbased label?","Персонализирана Weightbased етикет?"
"Custom Weightbased text?","Персонализирана Weightbased текст?"
"Customer Address X-pos.","Клиент Адрес X-поз."
"Customer attribute code","атрибут код Customer"
"Customer Comments","Коментари на клиенти"
"Customer custom attribute?","обичай Customer атрибут?"
"Customer Email","Клиент Email"
"Customer Email?","Клиент Email?"
"Customer group?","група клиенти?"
"Customer ID (Footer) X-pos.","Клиентски идентификационен номер (Footer) X-поз."
"Customer ID X-pos.","ID Customer X-поз."
"Customer ID?","Клиентски номер?"
"Customer name X-pos.","Име на клиента X-поз."
"Customer VAT title","заглавие Customer ДДС"
"Customer: Change "Print Invoice" to "PDF Invoices"?","Клиент: Смяна на "Отпечатване на фактура" да "на PDF фактури"?"
"Customer: Change "Print Order" to "PDF Invoices"?","Клиент: Промяна "Print Order" да "на PDF фактури"?"
"Customer: PDF Invoice button?","Клиент: бутон PDF фактура?"
"Customer: PDF Packing Sheet button?","Клиент: PDF бутон Опаковка Sheet?"
"Customise 'Packed by' text","Персонализиране "Опаковал от" текст"
"Customise fonts/colours?","Персонализирайте шрифтове / цветове?"
"Customize page title?","Персонализиране на заглавието на страницата?"
"Date format","Формат на датата"
"Date printed?","Дата отпечатан?"
"Day","ден"
"Deadline text","Краен срок текст"
"Deadline text / date?","Краен срок текст / дата?"
"Default","По подразбиране"
"Default : Yes","По подразбиране: Да"
"Default (Use standard)","Default (Използвайте стандарт)"
"Default (Use Total Price Xpos)","Default (Използвайте Обща цена Xpos)"
"Default (Use total prixe Xpos)","Default (Използвайте общо prixe Xpos)"
"Default top-right; eg. 'Invoice'","По подразбиране горния десен; напр. "Фактура""
"Default top-right; eg. 'Packing Sheet'","По подразбиране горния десен; напр. "Лист за опаковане""
"Default:","По подразбиране:"
"Default: -230,-210","По подразбиране: -230, -210"
"Default: ,","По подразбиране: ,"
"Default: 'OK'","По подразбиране: "ОК""
"Default: 'OK' -->","По подразбиране: "ОК" ->"
"Default: "Payment due "","По подразбиране: "Плащане поради""
"Default: {blank}","По подразбиране: {празно}"
"Default: #DDDDDD","По подразбиране: #DDDDDD"
"Default: #FFFFFF","По подразбиране: #FFFFFF"
"Default: 0<br />Eg. 21.6700 @ 0 = 22; @ 1 = 21.7; @ 2 = 21.67; @ -1 = 20","По подразбиране: 0 <br /> Напр. 21,6700 @ 0 = 22; @ 1 = 21,7; @ 2 = 21.67; @ -1 = 20"
"Default: 1<br />Eg. Change the display cost to match your actual end costs","По подразбиране: 1 <br /> Напр. Промяна на цената на дисплея, за да отговарят на вашите действителни крайни разходи"
"Default: 1<br />Eg. kg -> lb = 2.2046; lb -> kg = 0.4536","По подразбиране: 1 <br /> Напр. кг -> LB = 2.2046; LB -> кг = 0,4536"
"Default: 1<br />Eg. your base currency is USD, your manifest display currency is GBP : enter the exchange rate multiplier for USD -> GBP","По подразбиране: 1 <br /> Напр. Вашата основна валута е USD, вашата явна валута дисплей е GBP: въведете множител за обменния курс за USD -> GBP"
"Default: 100","По подразбиране: 100"
