"'Allowance' column title","título da coluna 'Provisão'"
"Add 2nd Order ID barcode?","Adicionar segundo código de barras Order ID?"
"Add 2nd shipping address?","Adicione o endereço de segunda transporte?"
"Add 2nd shipping-type image?","Adicione a imagem segundo tipo de transporte?"
"Add 3rd shipping-type image?","Adicionar imagem-tipo de expedição terceiro?"
"Add a 2nd background image?","Adicionar uma imagem de segundo plano?"
"Add a 2nd page title?","Adicione um título segunda página?"
"Add a background image?","Adicionar uma imagem de fundo?"
"Add a flat shipping address?","Adicionar um endereço de entrega flat?"
"Add address label?","Adicionar etiqueta de endereço?"
"Add an <b>autoCN22</b> page?","Adicionar um <b> autoCN22 </ b> página?"
"Add an <b>order-summary</b> label?","Adicionar um <b> fim-resumo </ b> rótulo?"
"Add company address to header?","Adicione o endereço de empresa para cabeçalho?"
"Add company address?","Adicione o endereço empresa?"
"Add fixed weight?","Adicionar peso fixo?"
"Add flare to gift messages?","Adicione o alargamento a mensagens de presente?"
"Add flat shipping address?","Adicionar endereço de entrega flat?"
"Add full-page background image?","Adicionar imagem de fundo de página inteira?"
"Add header logo?","Adicione o logotipo do cabeçalho?"
"Add image background to label?","Adicionar imagem de fundo para rotular?"
"Add letterhead?","Adicionar papel timbrado?"
"Add logo?","Adicione o logotipo?"
"Add on right of SKU","Adicionar sobre o direito de SKU"
"Add Order ID above address?","Adicionar ID do pedido acima endereço?"
"Add Order ID barcode?","Adicionar ID do pedido de código de barras?"
"Add ordered qty to stock-needed qty?","Adicionar Quant condenada a qtd necessária estoque?"
"Add page background image?","Adicionar imagem de fundo da página?"
"Add return address at bottom?","Adicionar endereço do remetente no fundo?"
"Add return address?","Adicione o endereço de retorno?"
"Add shipping address at bottom?","Adicionar endereço de entrega na parte inferior?"
"Add shipping label image?","Adicionar imagem etiqueta de remessa?"
"Add shipping label?","Adicionar etiqueta de remessa?"
"Add shipping-type image?","Adicionar imagem-tipo de expedição?"
"Add static text?","Adicionar texto estático?"
"Add tax in order subtotal [Europe Standard]","Adicionar imposto no subtotal do pedido [Europa Standard]"
"Add tax to number?","Adicionar imposto para o número?"
"Add tax to product line subtotal [US Standard]","Adicionar imposto a linha de produtos subtotal [US Standard]"
"Add tracking number as barcode?","Adicionar número de rastreamento de código de barras?"
"Add tracking number?","Adicionar número de rastreamento?"
"Address format","formato de endereço"
"Address label : Color","etiqueta de endereço: Cor"
"Address label : Font","etiqueta de endereço: Font"
"Address label : Size","etiqueta de endereço: Tamanho"
"Address label : Style","etiqueta de endereço: Estilo"
"Address text","texto de endereço"
"Address text, Default","texto de endereço, Padrão"
"Address text, Group 1","texto de endereço, Grupo 1"
"Address text, Group 2","texto de endereço, Grupo 2"
"Address text, Group 3","texto de endereço, Grupo 3"
"Address-label Sheet Options","Opções de folha de rótulo endereço"
"Adds a field for shipping methods that don't come from WSA Store Pickup","Adiciona um campo para métodos de transporte que não vêm de recolhimento WSA loja"
"Admin: Order-view PDF Invoice and Packing Sheet button?","Admin: Order-view PDF Invoice e Packing Folha botão?"
"Admin: Order-view PDF Invoice button?","Admin: Order-view botão PDF Invoice?"
"Admin: Order-view PDF Packing Sheet button?","Admin: Order-view botão Folha de embalagem PDF?"
"Admin: Order-view PDF Zebra Label button?","Admin: Order-view botão de etiqueta Zebra PDF?"
"Admin: Order-view Resend Email button?","Admin: Order-view botão Reenviar e-mail?"
"Alert Flag","Bandeira de alerta"
"Align text : center","Alinhar o texto: Centro"
"Align text : left","Alinhar texto: esquerda"
"All","Todos"
"All : non-interlaced <b>and</b> non-transparent .png","Todos: não entrelaçado <b> e </ b> não transparente .png"
"Allow Customers to Make PDFs?","Permitem aos clientes fazer PDFs?"
"Alternate row color","cor de linha alternativo"
"Alternate row in picklists","linhas alternadas em picklists"
"Alternate, billing down, shipping up","Alternativo, de faturamento para baixo, enviando-se"
"Always override &amp; use courierRules Shipping Connector Label if available?","Sempre substituem & amp; usar courierRules envio Connector etiqueta se disponível?"
"Amount to add","Valor para adicionar"
"Angle Text","Texto ângulo"
"Angled Ribbon","fita angular"
"Applies to Packing Sheets and Invoices, in the section which shows shipping method etc.","Aplica-se a folhas de embalagem e facturas, na seção que mostra o método de envio, etc."
"Ascending","ascendente"
"Attr.(1) Xpos","Attr. (1) Xpos"
"Attr.(2) Xpos","Attr. (2) Xpos"
"Attr.(3) Xpos","Attr. (3) Xpos"
"Attr.(4) Xpos","Attr. (4) Xpos"
"Attribute 1","atributo 1"
"Attribute 2","atributo 2"
"Attribute 3","atributo 3"
"Attribute 4","atributo 4"
"Attribute code","código de atributo"
"Attribute code (eg. for shelving info, maybe you have an attribute: shelf)<br /><b>You need to have created this attribute, and assigned values for each product for it to work!</b>","Atributo de código (. Por exemplo, para estantes informações, talvez você tem um atributo: Prateleira) <br /> <b> Você precisa ter criado esse atributo, e os valores atribuídos para cada produto para que ele funcione </ b>!"
"Attribute code 1:","Atributo de código 1:"
"Attribute code 2:","Atributo de código 2:"
"Attribute code 3:","Atributo de código 3:"
"Attribute code 4:","Atributo de código 4:"
"Attribute code 5:","Atributo de código 5:"
"Attribute code for shelving info; eg. shelf","Atributo código para estantes info; por exemplo. estante"
"Attribute code for supplier data; Default: supplier","Atributo de código para os dados de fornecedor; Padrão: fornecedor"
"Attribute code; eg. shelf","Atributo de código; por exemplo. estante"
"Attribute codes?","Atribuir os códigos?"
"Attribute column title","Atributo título da coluna"
"Attribute to show","Atributo para mostrar"
"Attribute to sort by :","Atributo de classificação:"
"Attribute to use as product name","Atributo para usar como nome do produto"
"Auto description 1","A inscrição Auto 1"
"Auto description 3","A inscrição Auto 3"
"Auto Processing","Processamento Auto"
"Automatic action :","Ação automática:"
"Automatic action #2:","ação automática # 2:"
"Automatic action #3:","ação automática # 3:"
"Automation Connection","Connection automação"
"Background Image","Imagem de fundo"
"Background image position","posição da imagem de fundo"
"Background image?","Imagem de fundo?"
"barcode : Font","código de barras: Font"
"barcode font size","tamanho da fonte de código de barras"
"barcode Font Size (Orders)","código de barras Tamanho da Fonte (ordens)"
"barcode Font Size (Products)","código de barras Tamanho da Fonte (Produtos)"
"barcode font-size","barcode font-size"
"barcode size","tamanho de código de barras"
"barcode X-pos.","código de barras X-pos."
"Because the Order currency is different from the Store currency, the conversion from","Uma vez que a moeda do pedido é diferente da moeda da loja, a conversão a partir de"
"Beside address","Ao lado de endereço"
"Billing address position","posição do endereço de faturamento"
"Billing address posititon","posititon endereço de cobrança"
"Billing address title","título endereço de cobrança"
"Bkg","Bkg"
"Blank = #000000 (#HEX colour code)","Em branco = # 000000 (código de cor #hex)"
"Blank box image","imagem Caixa em branco"
"Bold","Negrito"
"Bold 'Extra shipping details' labels?","etiquetas bold 'Detalhes de envio extra "?"
"Bold italic","Negrito itálico"
"Bold last line in page-base shipping addresses?","última linha ousada em endereços de envio página de base?"
"Bold last line in page-top shipping addresses?","última linha em negrito na página-top endereços de entrega?"
"Bold product name?","nome do produto em negrito?"
"Border color","Cor da borda"
"Bottom of page","Parte inferior da página"
"Box 1 Image","Box 1 Imagem"
"Box 2a Image (Store Pickup)","Box 2a Imagem (Capturar Store)"
"Box 2b Image (Express Mail)","Box 2b Imagem (Express Mail)"
"Box 2c Image (Priority International)","Box 2c Imagem (International Priority)"
"Box 2d Image (Standard International)","Box imagem 2D (Standard International)"
"Box 3 Image","Box 3 Imagem"
"Box count estimation?","Box contar estimativa?"
"Bring up top address?","Traga o endereço de topo?"
"Buttons for PDFs","Botões para PDFs"
"By default we output ANSI, which works well for Windows machines and special characters.<br >If you need UTF-8, just choose that here","Por saída de nós padrão ANSI, que funciona bem para máquinas Windows e caracteres especiais. <br> Se você precisar de UTF-8, basta escolher o que aqui"
"By Height","por Altura"
"By Width","por Largura"
"Calculate line totals by:","Calcular totais de linha por:"
"Callout colour","cor de texto explicativo"
"Can be handy to reduce customer support - eg. set to a custom Processing status of 'Packing your order now'","Pode ser útil para reduzir o suporte ao cliente - por exemplo. definida como um estado de Processamento costume de 'embalagem a encomenda agora ""
"Cancel?","Cancelar?"
"Capitalise shipping labels?","Capitalize etiquetas de transporte?"
"Category translation","categoria tradução"
"Center values?","valores Center?"
"Centered in page","Centrado na página"
"Centered in product list","Centrado na lista de produtos"
"Change order status","Alterar estado fim"
"Change the layout of shipping addresses","Alterar o esquema de endereços de envio"
"Change to status:","Mudar para o status:"
"Check for gift message?","Verifique se há mensagem de presente?"
"Clear Cached Images in pickPack","Imagens em cache claras em pickPack"
"Code","Código"
"Color","Cor"
"Color attribute","atributo de cor"
"Color X-pos.","Cor X-pos."
"Column mapping","mapeamento de coluna"
"Columns Y-X-pos.","Colunas Y-X-pos."
"Combine attribute?","Combine atributo?"
"Combine custom attributes under product line?","Combine os atributos personalizados sob a linha de produtos?"
"Combine custom product attributes under the product line?","Combine os atributos do produto personalizado sob a linha de produtos?"
"Combine pdfs","Combine pdfs"
"Combine product line details?","Combine detalhes da linha de produtos?"
"Combine the custom attributes listed below?","Combine os atributos personalizados listados abaixo?"
"Combined Attributes Xpos","Combinada Atributos Xpos"
"Combined Packing Sheet/Invoice' grouped by Order ID?","Folha de embalagem combinada / Fatura 'agrupadas por ID do pedido?"
"Combined pdfs?","pdfs combinados?"
"Comma separated top,bottom widths (eg 1,2)","Separados por vírgula superior, larguras inferiores (por exemplo, 1,2)"
"Comma-separated list of customer group names where you don't want the group name","Lista separada por vírgulas de nomes de grupo de clientes, onde você não quer que o nome do grupo"
"Comma-separated list of SKUs to *not* show","lista de SKUs separados por vírgula para * não * Mostrar"
"Comma-separated list of SKUs to *not* show a count for","lista de SKUs separados por vírgula para * não * mostrar uma contagem para"
"Comments","Comentários"
"Company address","Endereço da companhia"
"Company address : Color","Endereço da empresa: Cor"
"Company address : Font","Endereço da empresa: Font"
"Company address : Size","Endereço da empresa: Tamanho"
"Company address : Style","Endereço da empresa: Estilo"
"Company address, Default","endereço da empresa, Padrão"
"Company address, Group 1","endereço da empresa, Grupo 1"
"Company address, Group 2","endereço da empresa, Grupo 2"
"Company address, Group 3","endereço da empresa, Grupo 3"
"Condition","Condição"
"Configurable product name","nome do produto configurável"
"Cost (base) to (display) exchange rate","Custo (base) a (display) a taxa de câmbio"
"Cost currency prefix","prefixo de moeda custo"
"Cost multiplier","multiplicador de custo"
"Cost subtotal?","subtotal custo?"
"courierRules Method","Método courierRules"
"courierRules method?","Método courierRules?"
"courierRules Shipping Method","courierRules Método do transporte"
"CSV (Order-combined Products)","CSV (produtos Order-combinado)"
"CSV (Order-combined Products) Options","CSV (produtos Order-combinado) Opções"
"CSV (Order-combined Products)?","CSV (Produtos Ordem combinada)?"
"CSV (Order-separated Products)","CSV (Ordem separados Produtos)"
"CSV (Order-separated Products) Options","CSV (Ordem separados Produtos) Opções"
"CSV (Order-separated Products)?","CSV (Ordem separados Produtos)?"
"CSV (Orders)","CSV (ordens)"
"CSV (Orders) Options","CSV (ordens) Opções"
"CSV (Orders)?","CSV (ordens)?"
"CSV field separator","separador de campos CSV"
"CSV output encoding","codificação de saída CSV"
"CSV/XML (Cargo Manifest)","CSV / XML (Manifesto de Carga)"
"CSV/XML (Cargo Manifest)?","CSV / XML (Manifesto de Carga)?"
"Custom","personalizadas"
"Custom Attribute","atributo personalizado"
"Custom attribute (1)","atributo personalizado (1)"
"Custom attribute (2)","atributo personalizado (2)"
"Custom attribute (3)","atributo personalizado (3)"
"Custom attribute (4)","atributo personalizado (4)"
"Custom CSV field separator","Personalizado CSV separador de campo"
"Custom font file","arquivo fonte personalizada"
"Custom image","imagem personalizada"
"Custom Message : Background Color","Mensagem personalizada: Cor de fundo"
"Custom Message : Color","Mensagem personalizada: Cor"
"Custom Message : Font","Mensagem personalizada: Font"
"Custom Message : Size","Mensagem personalizada: Tamanho"
"Custom Message : Style","Mensagem personalizada: Estilo"
"Custom message under product list?","mensagem personalizada sob lista de produtos?"
"Custom options column title","Opções personalizadas título da coluna"
"Custom Order Attribute","Ordem feita sob encomenda Atributo"
"Custom page title","título de página personalizada"
"Custom product attribute code (eg: shelf)","Produto feito sob encomenda código de atributo (por exemplo: de prateleira)"
"Custom product attribute?","atributo do produto personalizado?"
"Custom text image","imagem de texto personalizado"
"Custom text under product list?","texto feito sob encomenda sob lista de produtos?"
"Custom Value","Valor personalizado"
"Custom weight fields?","campos de peso personalizado?"
"Custom weightbased count?","weightbased costume contagem?"
"Custom Weightbased label?","Weightbased costume rótulo?"
"Custom Weightbased text?","Weightbased texto feito sob encomenda?"
"Customer Address X-pos.","Cliente Endereço X-pos."
"Customer attribute code","código de atributo de cliente"
"Customer Comments","Comentários de clientes"
"Customer custom attribute?","atributo personalizado ao cliente?"
"Customer Email","cliente Email"
"Customer Email?","Cliente e-mail?"
"Customer group?","Grupo de clientes?"
"Customer ID (Footer) X-pos.","ID do cliente (rodapé) X-pos."
"Customer ID X-pos.","ID do cliente X-pos."
"Customer ID?","Identificação do Cliente?"
"Customer name X-pos.","nome do cliente X-pos."
"Customer VAT title","título IVA do cliente"
"Customer: Change "Print Invoice" to "PDF Invoices"?","Cliente: Change "Fatura Imprimir" para "Facturas PDF"?"
"Customer: Change "Print Order" to "PDF Invoices"?","Cliente: Change "ordem de impressão" para "Facturas PDF"?"
"Customer: PDF Invoice button?","Cliente: botão PDF Invoice?"
"Customer: PDF Packing Sheet button?","Cliente: PDF botão Folha de embalagem?"
"Customise 'Packed by' text","Personalizam "Embalado pelo 'text"
"Customise fonts/colours?","Personalize pias batismais / cores?"
"Customize page title?","Personalize título da página?"
"Date format","Formato de data"
"Date printed?","Data impressa?"
"Day","Dia"
"Deadline text","texto prazo"
"Deadline text / date?","texto Prazo / data?"
"Default","Padrão"
"Default : Yes","Padrão: Sim"
"Default (Use standard)","Padrão (Use standard)"
"Default (Use Total Price Xpos)","Padrão (Use Preço total Xpos)"
"Default (Use total prixe Xpos)","Padrão (Use prixe total de Xpos)"
"Default top-right; eg. 'Invoice'","Padrão superior direito; por exemplo. 'Fatura'"
"Default top-right; eg. 'Packing Sheet'","Padrão superior direito; por exemplo. 'Folha de embalagem'"
"Default:","Padrão:"
"Default: -230,-210","Padrão: -230, -210"
"Default: ,","Padrão: ,"
"Default: 'OK'","Padrão: 'OK'"
"Default: 'OK' -->","Padrão: 'OK' ->"
"Default: "Payment due "","Padrão: "Pagamento devido""
"Default: {blank}","Padrão: {} em branco"
"Default: #DDDDDD","Padrão: #dddddd"
"Default: #FFFFFF","Padrão: #FFFFFF"
"Default: 0<br />Eg. 21.6700 @ 0 = 22; @ 1 = 21.7; @ 2 = 21.67; @ -1 = 20","Default: 0 <br /> Eg. 21,6700 @ 0 = 22; @ 1 = 21,7; @ 2 = 21,67; @ -1 = 20"
"Default: 1<br />Eg. Change the display cost to match your actual end costs","Padrão: 1 <br /> Eg. Alterar o custo do vídeo para combinar seus custos finais reais"
"Default: 1<br />Eg. kg -> lb = 2.2046; lb -> kg = 0.4536","Padrão: 1 <br /> Eg. kg -> lb = 2,2046; lb -> kg = 0,4536"
"Default: 1<br />Eg. your base currency is USD, your manifest display currency is GBP : enter the exchange rate multiplier for USD -> GBP","Padrão: 1 <br /> Eg. a sua moeda base é USD, a moeda de exibição manifesto é GBP: entrar no multiplicador da taxa de câmbio para USD -> GBP"
"Default: 100","Padrão: 100"
"Default: 13pt/5pt (top/bottom), 5pt (left/right)","Padrão: 13pt / 5pt (superior / inferior), 5pt (esquerda / direita)"
"Default: 17","Padrão: 17"
"Default: 185","Padrão: 185"
"Default: 2 [1.1256 becomes 1.13]","Padrão: 2 [1,1256 torna-se 1,13]"
