"'Allowance' column title",""Облік" в заголовку стовпця"
"[#8AC371] (#HEX colour code)","[# 8AC371] (#HEX код кольору)"
"[#FFFFFF] (#HEX colour code)","[#FFFFFF] (#HEX Код кольору)"
"[10] (negative to shift it down)","[10] (негативне зрушення вниз)"
"[10] (negative to shift it down)<br />(Make about half image height to center text)<br />(If you need to show options, probably don't shift)","[10] (негативний, щоб зрушити його вниз) <br /> (Зробіть приблизно на половину висоти зображення до центру тексту) <br /> (Якщо вам потрібно, щоб показати варіанти, ймовірно, не зрушуються)"
"[10pt]/5pt (top/bottom), 5pt (left/right)","[10pt] / 5pt (верх / низ), 5pt (ліва / права)"
"[15pt] - Set larger to print a larger barcode","[15pt] - Встановити більше для друку штрих-кодів більшого розміру"
"[30] - Set to same as Sku X-Pos to print barcode under Sku","[30] - Встановити такий же, як Sku X-Pos для друку штрих-коду під Sku"
"[blank]","[Пробіл]"
"[Default = No]","[Початкове = Немає]"
"[Equal]","[Рівне]"
"[Invoice then Packing Sheet]","[Рахунок-фактура потім пакувальний лист]"
"[Italic]","[Курсив]"
"[More than]","[Більше]"
"[No]","[Немає]"
"[No] : Default","[Ні]: За замовчуванням"
"[No] (No = Word-wrap)","[Ні] (Ні = Перенесення слів)"
"[No] If set to yes, gift messages will print with this font.","[Ні] Якщо встановлено значення так, подарункові повідомлення будуть друкувати з цим шрифтом."
"[OpenSans]","[OpenSans]"
"[Packing Sheet then Invoice]","[Пакувальний лист потім рахунок-фактура]"
"[Partially: Lines top &amp; bottom]","[Частково: Лінії початку & Amp; знизу]"
"[price]","[Ціна]"
"[qty]","[Кількість]"
"[Regular]","[Normal]"
"[sku]","[И]"
"[stock]","[Акції]"
"[Yes (from Magento)]","[Так (з Magento)]"
"[Yes]","[Так]"
"[Yes] : Default;","[Так]: За умовчанням;"
"[Yes] (Adds 'Included' to tax label)","[Так] (Додає "Включено" до податкової етикетці)"
"[Yes] (No = Word-wrap)","[Так] (Ні = Перенесення слів)"
"[Yes]<br />- If you have slightly 'dirty data' (eg. product names with linebreaks in) set this to yes.","[Так] <br /> - (., Наприклад, назви продуктів з переносами в) Якщо у вас є кілька "брудних даних" встановити це так."
"[Yes]<br />- If you have spreadsheet cells getting mixed up, check this is turned on.<br />- If set to Yes, set the spreadsheet importer to 'Fields de-limited by " character'.","[Так] <br /> -. Якщо у вас є осередки електронних таблиць отримувати переплутали, це перевірити включений <br /> - Якщо встановлено значення Так, встановити електронну таблицю імпортера 'Поля де-обмежені "характером"."
"&nbsp;&nbsp;Custom Value","& NBSP; & NBSP; призначене для користувача значення"
"&nbsp;&nbsp;Value","& NBSP; & NBSP; Значення"
"&nbsp;Eg. enter 'Captured amount' to not show authorize.net payments<br / >Separate multiple phrases by the pipe character: <b>|</b>","& NBSP; Наприклад. введіть "Захоплені кількість", щоб не показувати Authorize.NET платежі <br /> Розділіть фраз за характером труби: <B> | </ b>"
"<b>Default Label dimensions (portrait):</b>","<B> За замовчуванням розміри етикетки (портрет): </ b>"
"<b>Label dimensions:250,200</b>","<B> розміри етикетки: 250200 </ b>"
"<div class="column_config_section" style="width:60%!important">","<DIV клас = "column_config_section" стиль = "ширина: 60% важливо">"
"<div class="column_config_section">","<DIV клас = "column_config_section">"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -12em;"><b>Structure:</b> <span class = "comment_code">{if X}</span><span class = "comment_code">{X}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />","<DIV клас = "column_config_section"> <DIV клас = стиль "column_config_para" = "маржа-топ: -12em;"> <B> Склад: </ b> <SPAN клас = "comment_code"> {якщо X} </ SPAN> <SPAN клас = "comment_code"> {X} </ SPAN>, | <SPAN клас = "comment_code"> {/, якщо} </ SPAN> <br /> <B> Ви можете використовувати ці коди: </ б > <br /> <проліт клас = "comment_code"> {префікс} </ SPAN> <SPAN клас = "comment_code"> {ім'я} </ SPAN> <SPAN клас = "comment_code"> {FirstName} </ SPAN> <SPAN клас = "comment_code"> {Lastname} </ SPAN> <SPAN клас = "comment_code"> {суфікс} </ SPAN> <SPAN клас = "comment_code"> {компанія} </ SPAN> <SPAN клас = " comment_code "> {вулиця} </ SPAN> <SPAN клас =" comment_code "> {місто} </ SPAN> <SPAN клас =" comment_code "> {поштовий індекс} </ SPAN> <SPAN клас =" comment_code "> {країна } </ SPAN> <br />"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{Attribute A}</span>,<span class = "comment_code">{Attribute  B}</span>","<DIV клас = "column_config_section"> <DIV клас = стиль "column_config_para" = "маржа-топ: -7.5em;"> <B> Склад: </ b> <SPAN клас = "comment_code"> {A} Атрибут < / SPAN>, <SPAN клас = "comment_code"> {B} Атрибут </ SPAN>"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{if x}</span><span class = "comment_code">{x}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />","<DIV клас = "column_config_section"> <DIV клас = стиль "column_config_para" = "маржа-топ: -7.5em;"> <B> Склад: </ b> <SPAN клас = "comment_code"> {якщо х} < / SPAN> <SPAN клас = "comment_code"> {х} </ SPAN>, | <SPAN клас = "comment_code"> {/, якщо} </ SPAN> <br /> <B> Ви можете використовувати ці коди: </ B> <br /> <проліт клас = "comment_code"> {префікс} </ SPAN> <SPAN клас = "comment_code"> {ім'я} </ SPAN> <SPAN клас = "comment_code"> {FirstName} </ SPAN > <SPAN клас = "comment_code"> {Lastname} </ SPAN> <SPAN клас = "comment_code"> {суфікс} </ SPAN> <SPAN клас = "comment_code"> {компанія} </ SPAN> <SPAN клас = "comment_code"> {вулиця} </ SPAN> <SPAN клас = "comment_code"> {місто} </ SPAN> <SPAN клас = "comment_code"> {поштовий індекс} </ SPAN> <SPAN клас = "comment_code"> { країна} </ SPAN> <br />"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b><br />","<DIV клас = "column_config_section"> <DIV клас = стиль "column_config_para" = "маржа-топ: -7.5em;"> <B> Склад: </ b> <br />"
"<div class="column_config_section"><div class="column_config_para">[No] Some couriers (like Royal Mail) require no accents in shipping labels.</div></div>","<DIV клас = "column_config_section"> <DIV клас = "column_config_para"> [Ні] Деякі кур'єри (наприклад, Royal Mail) не вимагають ніяких акцентів в морських етикеток. </ DIV> </ DIV>"
"<div class="column_config_section"><div class="column_config_para"><b>Structure:</b><br />","<DIV клас = "column_config_section"> <DIV клас = "column_config_para"> <B> Склад: </ b> <br />"
"<div class="column_config_section"><div class="column_config_para">eg. Put your country, then only overseas orders will have country added </div></div>","<DIV клас = "column_config_section"> <DIV клас = "column_config_para"> наприклад. Покладіть вашу країну, то тільки закордонні замовлення матимуть країну додав </ DIV> </ DIV>"
"<div class="column_config_section"><div class="column_config_para">If your PDFs print with missing or tofu (<b style="font-size:200%;font-weight:100;display:inline;position:relative;top:5px;">&#9647;</b>) characters, set this to 'Yes'.<br/>Setting this to 'Yes' will make your PDFs about 0.4mb bigger.<br/>If that doesn't work for you: set 'Customise fonts' to 'Yes'; then set 'Use non-roman characters to 'Yes'; then try the other font families.</div></div>","<DIV клас = "column_config_section"> <DIV клас = "column_config_para"> Якщо ваші PDF-файли друку з відсутніми або тофу (<б стиль = "розмір шрифту: 200%; накреслення шрифту: 100; дисплей: вбудований; положення: відносна ; верх: 5px; "> & # 9647; </ B>) символів, встановіть цей 'Так' <br/> Установка цього параметра в 'Так' зробить ваші PDF-файли про 0.4mb більшого <br/> Якщо це .. не працює для вас: набір '' Налаштування шрифтів 'Так'; потім встановіть "Використовувати нелатинські символи 'Так'; то спробуйте інші сімейства шрифтів. </ DIV> </ DIV>"
"<div class="column_config_section"><div class="column_config_para">Set to the most prominent colour in your logo. [#8AC371]<br/>(Used for title borders).</div></div>","<DIV клас = "column_config_section"> <DIV клас = "column_config_para"> Встановіть найвидніший колір в логотипі. [# 8AC371] <br/> (Використовується для назви кордонів). </ DIV> </ DIV>"
"<div class="column_config_section"><div class="column_config_para">Use this if you need a specific cutoff point (eg for labels) which the auto-cutoff is going over","<DIV клас = "column_config_section"> <DIV клас = "column_config_para"> Використовуйте це, якщо вам потрібен конкретний момент відсічення (наприклад, для етикеток), яке відбувається через автоматичне відключення"
"<img src="//moogento.com/logo/moogento_tinylogo.lp.png" alt="Moogento" width="20" style="vertical-align:bottom;margin-left:-1px;"/> MOOGENTO Extensions","<IMG SRC = "// moogento.com/logo/moogento_tinylogo.lp.png" альт = "Moogento" ширина = "20" стиль = "вертикальне вирівнювання: знизу; маржа наліво: -1px;" /> MOOGENTO Розширення"
"18 Flag","18 Прапор"
"2 places","2 місця"
"21 Flag","21 Прапор"
"2a Shipmethod match","Матч 2a Shipmethod"
"2b Shipmethod match","матч 2b Shipmethod"
"2c Shipmethod match","матч 2с Shipmethod"
"2d Country negative match","2d Країна негативне відповідність"
"2nd attribute?","Точки зору на другий?"
"2nd background image?","2-й фонове зображення?"
"2nd Custom page title","2-ий замовлення заголовок сторінки"
"2nd Image file","Другий файл зображення"
"2nd Order attribute code","2-го порядку код атрибута"
"2nd Order custom attribute?","2-го порядку для користувача атрибут?"
"2nd page title","Другий заголовок сторінки"
"2nd Sort by :","2-й Сортувати по:"
"2nd sort direction :","Другий напрямок сортування:"
"3 places","3 місця"
"3rd attribute?","Третій атрибут?"
"4 places","4 місця"
"4th attribute?","4-й атрибут?"
"Above address","вище адреса"
"According to the USPS all addresses should be capitalised to improve delivery time","Відповідно до USPS всі адреси повинні бути капіталізовані, щоб поліпшити час доставки"
"According to the USPS all addresses should be capitalised to improve delivery time and accuracy","Відповідно до USPS всі адреси повинні бути капіталізовані для поліпшення часу доставки і точності"
"Action Menu Options","Опції меню Дія"
"Actual attribute code (eg: shelf)","Фактичний код атрибута (наприклад: полки)"
"Add 'Packed by' note?","Додайте 'упакований' ноти?"
"Add <b><a href="https://moogento.com/autocn22">autoCN22</a> Customs label?</b>","Додати <B> <a href="https://moogento.com/autocn22"> autoCN22 </a> митної етикетці? </ B>"
"Add 1 per line, exact attribute labels which you *don't* want to show","Додати 1 в рядку, точні мітки атрибутів, які ви * не є хочете показати"
"Add 2nd Order ID barcode?","Додати 2-го порядку ID штрих-код?"
"Add 2nd shipping address?","Додати 2-й адресу доставки?"
"Add 2nd shipping-type image?","Додати 2-й відправка типу зображення?"
"Add 3rd shipping-type image?","Додати 3-го типу відправка зображення?"
"Add a 2nd background image?","Додати фонове зображення 2-й?"
"Add a 2nd page title?","Додати 2-е назва сторінки?"
"Add a background image?","Додати фонове зображення?"
"Add a flat shipping address?","Додати плоский адресу доставки?"
"Add address label?","Додати адресу мітки?"
"Add an <b>autoCN22</b> page?","Додати <B> autoCN22 </ b> сторінки?"
"Add an <b>order-summary</b> label?","Додати <B> порядку Резюме </ B> етикетки?"
"Add company address to header?","Додати адресу компанії заголовок?"
"Add company address?","Додати адресу компанії?"
"Add fixed weight?","Додати фіксований вагу?"
"Add flare to gift messages?","Додати до відблиск подарункових повідомлень?"
"Add flat shipping address?","Додати плоский адресу доставки?"
"Add full-page background image?","Додати повну сторінку фонове зображення?"
"Add header logo?","Додати заголовок логотип?"
"Add image background to label?","Додати водяний знак на етикетці?"
"Add letterhead?","Додати фірмовий бланк?"
"Add logo?","Додати логотип?"
"Add on right of SKU","Додати на правому SKU"
"Add Order ID above address?","Додайте ідентифікатор замовлення вище адресу?"
"Add Order ID barcode?","Додати ID замовлення штрих-код?"
"Add ordered qty to stock-needed qty?","Додайте впорядковану Кількість в наявності необхідного Кількість?"
"Add page background image?","Додати сторінку фонове зображення?"
"Add return address at bottom?","Додати зворотну адресу в нижній частині?"
"Add return address?","Додати зворотну адресу?"
"Add shipping address at bottom?","Додати адресу доставки в нижній частині?"
"Add shipping label image?","Додати ярлику зображення?"
"Add shipping label?","Додати ярлик доставки?"
"Add shipping-type image?","Додати відправка типу зображення?"
"Add static text?","Додати статичний текст?"
"Add tax in order subtotal [Europe Standard]","Додати податок в порядку підсумку [Європа Стандартний]"
"Add tax to number?","Додати податок на номер?"
"Add tax to product line subtotal [US Standard]","Додати податок на лінії продукт підсумку [стандарт США]"
"Add tracking number as barcode?","Додати ідентифікаційний номер, як штрих-код?"
"Add tracking number?","Додати ідентифікаційний номер?"
"Address format","формат адреси"
"Address label : Color","Адреса етикетки: Колір"
"Address label : Font","Адреса етикетки: Шрифт"
"Address label : Size","Адреса етикетки: Розмір"
"Address label : Style","Адреса етикетки: Стиль"
"Address text","Адреса текст"
"Address text, Default","Адреса Текст, за замовчуванням"
"Address text, Group 1","Адреса Текст, група 1"
"Address text, Group 2","Адреса Текст, група 2"
"Address text, Group 3","Адреса Текст, група 3"
"Address-label Sheet Options","Параметри листа Адреса маркувати"
"Adds a field for shipping methods that don't come from WSA Store Pickup","Додає поле для методів доставки, які не приходять від WSA магазину Pickup"
"Admin: Order-view PDF Invoice and Packing Sheet button?","Admin: Order-перегляд PDF рахунки-фактури і пакувальний лист кнопка?"
"Admin: Order-view PDF Invoice button?","Admin: Order-Кнопка перегляду PDF рахунки-фактури?"
"Admin: Order-view PDF Packing Sheet button?","Admin: Order-Кнопка перегляду PDF Лист упаковки?"
"Admin: Order-view PDF Zebra Label button?","Admin: Order-Кнопка перегляду PDF Zebra етикетки?"
"Admin: Order-view Resend Email button?","Admin: Кнопка Resend Email Замовлення-перегляд?"
"Alert Flag","прапор оповіщення"
"Align text : center","Вирівнювання тексту: центр"
"Align text : left","Вирівнювання тексту: лівий"
"All","всі"
"All : non-interlaced <b>and</b> non-transparent .png","Все: нечередованний <B> і </ b> непрозорий .png"
"Allow Customers to Make PDFs?","Дозволити клієнтам зробити PDF-файли?"
"Alternate row color","Альтернативний колір рядка"
"Alternate row in picklists","Альтернативні рядки в picklists"
"Alternate, billing down, shipping up","Альтернативні варіанти, виставлення рахунків вниз, відправка вгору"
"Always override &amp; use courierRules Shipping Connector Label if available?","Завжди перевизначати & Amp; використовувати ярлик courierRules Shipping Connector, якщо такі існують?"
"Amount to add","Сума для додавання"
"Angle Text","кут тексту"
"Angled Ribbon","кутова стрічка"
"Applies to Packing Sheets and Invoices, in the section which shows shipping method etc.","Відноситься до упаковки листів і рахунків-фактур, в розділі, який показує спосіб доставки і т.п."
"Ascending","висхідна"
"Attr.(1) Xpos","Атт. (1) XPOS"
"Attr.(2) Xpos","Атт. (2) XPOS"
"Attr.(3) Xpos","Атт. (3) XPOS"
"Attr.(4) Xpos","Атт. (4) XPOS"
"Attribute 1","Атрибут 1"
"Attribute 2","Атрибут 2"
"Attribute 3","Атрибут 3"
"Attribute 4","Атрибут 4"
"Attribute code","код Атрибут"
"Attribute code (eg. for shelving info, maybe you have an attribute: shelf)<br /><b>You need to have created this attribute, and assigned values for each product for it to work!</b>","Атрибут (код. Наприклад, для стелажів інформації, може бути, у вас є атрибут: полки) <br /> <B> Вам потрібно створили цей атрибут, і привласнені значення для кожного продукту для його роботи </ b>!"
"Attribute code 1:","Атрибут коду 1:"
"Attribute code 2:","Атрибут Код 2:"
"Attribute code 3:","Атрибут Код 3:"
"Attribute code 4:","Атрибут Код 4:"
"Attribute code 5:","Атрибут Код 5:"
"Attribute code for shelving info; eg. shelf","Атрибут код для стелажа інформації; наприклад. полиця"
"Attribute code for supplier data; Default: supplier","Атрибут Код даних постачальника; За замовчуванням: постачальник"
"Attribute code; eg. shelf","Атрибут коду; наприклад. полиця"
"Attribute codes?","Атрибут коди?"
"Attribute column title","Атрибут заголовок стовпчика"
"Attribute to show","Атрибут, щоб показати"
"Attribute to sort by :","Атрибут сортувати по:"
"Attribute to use as product name","Атрибут для використання в якості назви продукту"
"Auto description 1","Авто 1 Опис"
"Auto description 3","Авто опис 3"
"Auto Processing","авто Переробка"
"Automatic action :","Автоматична дія:"
"Automatic action #2:","Автоматична дія # 2:"
"Automatic action #3:","Автоматична дія # 3:"
"Automation Connection","Підключення до автоматизації"
"Background Image","Фонове зображення"
"Background image position","становище зображення фону"
"Background image?","Фонове зображення?"
"barcode : Font","штрих-код: Шрифт"
"barcode font size","Розмір шрифту штрих-коду"
"barcode Font Size (Orders)","штрих-коду Розмір шрифту (Замовлення)"
"barcode Font Size (Products)","штрих-коду Розмір шрифту (продукти)"
"barcode font-size","штрих-коду розмір шрифту"
"barcode size","розмір штрих-коду"
"barcode X-pos.","штрих-коду X-поз."
"Because the Order currency is different from the Store currency, the conversion from","Оскільки валюта замовлення відрізняється від валюти магазину, перетворення"
"Beside address","Крім адреси"
"Billing address position","Положення Адреса виставлення рахунку"
"Billing address posititon","Адреса виставлення posititon"
"Billing address title","Адреса виставлення рахунку в заголовку"
"Bkg","банківська справа"
"Blank = #000000 (#HEX colour code)","Пробіл = # 000000 (#HEX код кольору)"
"Blank box image","Порожнє поле зображення"
"Bold","напівжирний"
"Bold 'Extra shipping details' labels?","етикетки жирним шрифтом "додаткові відомості про доставку"?"
"Bold italic","жирний курсив"
"Bold last line in page-base shipping addresses?","Жирний останній рядок сторінки базових адрес доставки?"
"Bold last line in page-top shipping addresses?","Жирний останній рядок сторінки верхніх адрес доставки?"
"Bold product name?","Жирний назва продукту?"
"Border color","колір кордону"
"Bottom of page","внизу сторінки"
"Box 1 Image","Вставка 1 Зображення"
"Box 2a Image (Store Pickup)","Box 2a Зображення (магазин Pickup)"
"Box 2b Image (Express Mail)","Вставка 2b Зображення (Express Mail)"
"Box 2c Image (Priority International)","Вставка зображення 2в (пріоритет International)"
"Box 2d Image (Standard International)","Вставка 2d зображення (Standard International)"
"Box 3 Image","Вставка 3 Зображення"
"Box count estimation?","Box розраховувати оцінку?"
"Bring up top address?","Піднімають верхній адреса?"
"Buttons for PDFs","Кнопки для PDF-файлів"
"By default we output ANSI, which works well for Windows machines and special characters.<br >If you need UTF-8, just choose that here","За замовчуванням ми виводимо ANSI, який добре працює для машин Windows, і спеціальних символів. <br> Якщо вам потрібно UTF-8, просто вибрати, що тут"
"By Height","по висоті"
"By Width","по ширині"
"Calculate line totals by:","Розрахунок підсумкових рядків по:"
"Callout colour","виноска колір"
"Can be handy to reduce customer support - eg. set to a custom Processing status of 'Packing your order now'","Може бути корисно для зменшення підтримки клієнтів - наприклад. встановлений в стан призначеного для користувача обробки "Упаковка замовлення""
"Cancel?","Скасувати?"
"Capitalise shipping labels?","Прописними буквами судноплавства етикетки?"
"Category translation","Категорія переклад"
"Center values?","Значення Center?"
"Centered in page","По центру сторінки"
"Centered in product list","Зосереджений в списку продуктів"
"Change order status","Зміна статусу замовлення"
"Change the layout of shipping addresses","Зміна розташування адрес доставки"
"Change to status:","Зміна в статусі:"
"Check for gift message?","Перевірте повідомлення для подарунка?"
"Clear Cached Images in pickPack","Очистити Cached Зображення в pickPack"
"Code","код"
"Color","колір"
"Color attribute","атрибут Color"
"Color X-pos.","Колір X-поз."
"Column mapping","відображення стовпців"
"Columns Y-X-pos.","Колони Y-X-поз."
"Combine attribute?","Комбінат атрибут?"
"Combine custom attributes under product line?","Комбінат атрибути відповідно до продуктової лінійки?"
"Combine custom product attributes under the product line?","Об'єднати атрибути користувальницького продукту під продуктової лінійки?"
"Combine pdfs","комбінат PDFs"
"Combine product line details?","Об'єднати деталі продуктової лінійки?"
"Combine the custom attributes listed below?","Об'єднайте свої атрибути перераховані нижче?"
"Combined Attributes Xpos","Комбіновані Атрибути XPOS"
"Combined Packing Sheet/Invoice' grouped by Order ID?","Комбінований пакувальний лист / рахунок-фактура ", згруповані за замовлення ID?"
"Combined pdfs?","Комбіновані PDFs?"
"Comma separated top,bottom widths (eg 1,2)","Кома розділені зверху, знизу ширини (наприклад, 1,2)"
"Comma-separated list of customer group names where you don't want the group name","Розділених комами список імен груп клієнтів, де ви не хочете, назва групи"
"Comma-separated list of SKUs to *not* show","Розділених комами список артикулів до * немає * шоу"
"Comma-separated list of SKUs to *not* show a count for","Розділених комами список артикулів до * не є показати лічильник для"
"Comments","Коментарі"
"Company address","Адреса компанії"
"Company address : Color","Адреса компанії: Колір"
"Company address : Font","Адреса компанії: Шрифт"
"Company address : Size","Адреса компанії: Розмір"
"Company address : Style","Адреса компанії: Стиль"
"Company address, Default","Адреса компанії, за замовчуванням"
"Company address, Group 1","Адреса компанії, група 1"
"Company address, Group 2","Адреса компанії, група 2"
"Company address, Group 3","Адреса компанії, група 3"
"Condition","стан"
"Configurable product name","Настроюється назва продукту"
"Cost (base) to (display) exchange rate","Вартість (основа) (дисплей) обмінний курс"
"Cost currency prefix","Вартість валюти префікс"
"Cost multiplier","мультиплікатор вартості"
"Cost subtotal?","Вартість субтотальне?"
"courierRules Method","метод courierRules"
"courierRules method?","Метод courierRules?"
"courierRules Shipping Method","courierRules Спосіб доставки"
"CSV (Order-combined Products)","CSV (Order комбіновані продукти)"
"CSV (Order-combined Products) Options","CSV (Order комбіновані продукти) Варіанти"
"CSV (Order-combined Products)?","CSV (Order комбіновані продукти)?"
"CSV (Order-separated Products)","CSV (Order розділених Products)"
"CSV (Order-separated Products) Options","CSV (Order розділених Products) Опції"
"CSV (Order-separated Products)?","CSV (Order розділених Products)?"
"CSV (Orders)","CSV (замовлення)"
"CSV (Orders) Options","CSV (замовлень) Варіанти"
"CSV (Orders)?","CSV (замовлення)?"
"CSV field separator","Сепаратор CSV поле"
"CSV output encoding","кодування вихідних даних CSV"
"CSV/XML (Cargo Manifest)","CSV / XML (вантажний маніфест)"
"CSV/XML (Cargo Manifest)?","CSV / XML (вантажний маніфест)?"
"Custom","виготовлений на замовлення"
"Custom Attribute","Призначений для користувача атрибут"
"Custom attribute (1)","Призначений для користувача атрибут (1)"
"Custom attribute (2)","Призначений для користувача атрибут (2)"
"Custom attribute (3)","Призначений для користувача атрибут (3)"
"Custom attribute (4)","Призначений для користувача атрибут (4)"
"Custom CSV field separator","Призначений для користувача роздільник CSV поле"
"Custom font file","Призначений для користувача файл шрифту"
"Custom image","призначені для користувача зображення"
"Custom Message : Background Color","Призначені для користувача Повідомлення: Колір фону"
"Custom Message : Color","Призначені для користувача Повідомлення: Колір"
"Custom Message : Font","Призначені для користувача Повідомлення: Шрифт"
"Custom Message : Size","Власне повідомлення: Розмір"
"Custom Message : Style","Призначені для користувача Повідомлення: Стиль"
"Custom message under product list?","Власне повідомлення під списком продуктів?"
"Custom options column title","Власні параметри заголовка стовпчика"
"Custom Order Attribute","Довільний замовлення Атрибут"
"Custom page title","Назва Користувальницькі сторінки"
"Custom product attribute code (eg: shelf)","Призначений для користувача код атрибуту продукту (наприклад: полки)"
"Custom product attribute?","атрибут користувальницького продукту?"
"Custom text image","Власним текстом зображення"
"Custom text under product list?","Власним текстом під списком продуктів?"
"Custom Value","користувача значення"
"Custom weight fields?","Поля для користувача вага?"
"Custom weightbased count?","Призначені для користувача weightbased підрахунок?"
"Custom Weightbased label?","Призначені для користувача Weightbased ярлик?"
"Custom Weightbased text?","Призначені для користувача Weightbased текст?"
"Customer Address X-pos.","Замовник Адреса X-поз."
"Customer attribute code","Код атрибута клієнта"
"Customer Comments","Коментарі клієнтів"
"Customer custom attribute?","виготовлений на замовлення клієнта атрибут?"
"Customer Email","Клієнт електронної пошти"
"Customer Email?","Клієнт електронної пошти?"
"Customer group?","Група клієнтів?"
"Customer ID (Footer) X-pos.","Ідентифікатор клієнта (Footer) X-поз."
"Customer ID X-pos.","Ідентифікатор клієнта X-поз."
"Customer ID?","Ідентифікатор клієнта?"
"Customer name X-pos.","Ім'я клієнта X-поз."
"Customer VAT title","Назва ПДВ Замовник"
"Customer: Change "Print Invoice" to "PDF Invoices"?","Замовник: Змінити "Друк рахунки-фактури" в "PDF" рахунків-фактур?"
"Customer: Change "Print Order" to "PDF Invoices"?","Замовник: Змінити "Print Order" в "PDF" рахунків-фактур?"
"Customer: PDF Invoice button?","Клієнт: кнопка PDF рахунки-фактури?"
"Customer: PDF Packing Sheet button?","Замовник: PDF кнопка упаковки Лист?"
"Customise 'Packed by' text","Customise 'упакований' текст"
"Customise fonts/colours?","Налаштування шрифтів / квітів?"
"Customize page title?","Налаштування заголовка сторінки?"
"Date format","Формат дати"
"Date printed?","Дата друкується?"
"Day","день"
"Deadline text","термін тексту"
"Deadline text / date?","Крайній текст / дата?"
"Default","дефолт"
"Default : Yes","За замовчуванням: Так"
"Default (Use standard)","За замовчуванням (стандартне використання)"
"Default (Use Total Price Xpos)","За замовчуванням (Використання Загальна вартість XPOS)"
"Default (Use total prixe Xpos)","За замовчуванням (Використовувати загальна prixe XPOS)"
"Default top-right; eg. 'Invoice'","За замовчуванням верхній правий; наприклад. 'Рахунок'"
"Default top-right; eg. 'Packing Sheet'","За замовчуванням верхній правий; наприклад. 'Упаковка Лист'"
"Default:","За замовчуванням:"
"Default: -230,-210","За замовчуванням: -230, -210"
"Default: ,","За замовчуванням :,"
"Default: 'OK'","За замовчуванням: 'OK'"
"Default: 'OK' -->","За замовчуванням: 'OK' ->"
